target,feature_set,variant,model_a,model_b,n_paired,median_a,median_b,median_diff,p,underpowered,p_holm,winner
lt1,EMG+NIRS,noabs,v0106a,v0107,18,4.7944,4.0585,1.2233,0.8317,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0106b,v0106c,18,4.7754,4.7084,-0.3076,0.0814,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0106b,v0107,18,4.7754,4.0585,1.0423,0.9661,False,1.0,n.s.
lt1,EMG+NIRS,noabs,v0106c,v0107,18,4.7084,4.0585,1.2526,0.7019,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0011,v0102,18,2.112,5.776,-2.7632,0.0,False,0.0003,v0011
lt1,EMG+NIRS,with_abs,v0011,v0106a,18,2.112,4.709,-1.8499,0.0,False,0.0003,v0011
lt1,EMG+NIRS,with_abs,v0011,v0106b,18,2.112,4.5404,-1.1983,0.0,False,0.0003,v0011
lt1,EMG+NIRS,with_abs,v0011,v0105,18,2.112,4.8376,-2.276,0.0,False,0.0006,v0011
lt1,EMG+NIRS,with_abs,v0011,v0103,18,2.112,5.0621,-2.1056,0.0,False,0.0009,v0011
lt1,EMG+NIRS,with_abs,v0011,v0101,18,2.112,4.5657,-1.5892,0.0,False,0.0015,v0011
lt1,EMG+NIRS,with_abs,v0011,v0104,18,2.112,4.3175,-1.633,0.0,False,0.0015,v0011
lt1,EMG+NIRS,with_abs,v0011,v0106c,18,2.112,4.775,-2.0318,0.0,False,0.0015,v0011
lt1,EMG+NIRS,with_abs,v0101,v0103,18,4.5657,5.0621,-0.4777,0.0,False,0.0015,v0101
lt1,EMG+NIRS,with_abs,v0102,v0106b,18,5.776,4.5404,1.2978,0.0001,False,0.0027,v0106b
lt1,EMG+NIRS,with_abs,v0102,v0104,18,5.776,4.3175,1.2555,0.0003,False,0.0115,v0104
lt1,EMG+NIRS,with_abs,v0103,v0106c,18,5.0621,4.775,0.2915,0.0009,False,0.0293,v0106c
