version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0103,wavelet,noabs,lt1,EMG+NIRS+HRV,,5.6139,5.3658,5.5188,5.4647,5.4135,5.3658,-0.084,0.452,4130,18,5.1657,5.0093,1.7777,2.7892,-0.054,0.667,-0.4482,0.2481,150.0
v0103,wavelet,noabs,lt2,EMG+NIRS+HRV,,6.1028,6.3251,6.3251,6.4989,6.7305,7.5108,-0.399,0.498,3634,17,5.62,4.8255,1.8739,2.2561,-0.624,0.882,-0.4828,-0.2223,30.0
v0104,lstm,with_abs,lt1,EMG,,5.3827,5.2648,5.3208,5.2889,5.2648,5.2958,-0.01,0.248,4130,18,4.9162,4.4799,1.8311,3.1022,-0.162,0.556,-0.4665,0.1179,75.0
v0104,lstm,with_abs,lt2,EMG,,5.5744,5.7852,5.7852,5.9471,6.1621,6.8911,-0.178,0.446,3634,17,5.0703,4.4526,1.8566,2.1851,-0.311,0.706,-0.5041,-0.2108,30.0
v0104,lstm,with_abs,lt1,NIRS,,5.2194,5.1746,5.1842,5.1746,5.1784,5.2779,0.062,0.511,4130,18,4.7688,4.5136,1.7737,2.5215,0.012,0.389,-0.4506,0.0448,50.0
v0104,lstm,with_abs,lt2,NIRS,,5.862,6.0388,6.0388,6.1765,6.3619,7.0155,-0.287,0.228,3634,17,5.3195,4.9504,1.9577,2.0198,-0.318,0.882,-0.5425,-0.1768,30.0
v0104,lstm,with_abs,lt1,EMG+NIRS,,5.1385,5.0732,5.0966,5.0799,5.0732,5.1436,0.08,0.601,4130,18,4.6903,4.3175,1.7435,2.7647,0.052,0.5,-0.4482,0.0653,75.0
v0104,lstm,with_abs,lt2,EMG+NIRS,,5.6916,5.8974,5.8974,6.0555,6.2646,6.97,-0.217,0.385,3634,17,5.1563,4.3886,1.9528,1.9428,-0.278,0.765,-0.5353,-0.2058,30.0
v0104,lstm,with_abs,lt1,EMG+NIRS+HRV,,5.1671,5.1135,5.1271,5.1135,5.1144,5.2153,0.072,0.487,4130,18,4.7081,4.5355,1.7835,2.7,-0.007,0.556,-0.459,0.0536,50.0
v0104,lstm,with_abs,lt2,EMG+NIRS+HRV,,5.3917,5.6297,5.6297,5.8144,6.0563,6.8508,-0.132,0.708,3634,17,4.8873,4.5187,1.8686,1.9771,-0.234,0.588,-0.5044,-0.238,30.0
v0104,lstm,noabs,lt1,EMG,,5.2778,5.176,5.2244,5.1966,5.176,5.2174,0.023,0.45,4130,18,4.8195,4.3825,1.7864,2.8217,-0.031,0.611,-0.4583,0.1018,75.0
v0104,lstm,noabs,lt2,EMG,,5.6407,5.8475,5.8475,6.007,6.2193,6.9403,-0.204,0.323,3634,17,5.1166,4.5417,1.9229,1.9324,-0.269,0.765,-0.5241,-0.2068,30.0
v0104,lstm,noabs,lt1,NIRS,,5.2009,5.15,5.1613,5.15,5.1524,5.2446,0.066,0.554,4130,18,4.7517,4.275,1.7639,2.7891,0.076,0.389,-0.4492,0.0509,50.0
v0104,lstm,noabs,lt2,NIRS,,5.7484,5.9279,5.9279,6.0709,6.2637,6.9353,-0.224,0.196,3634,17,5.2561,4.9101,1.7783,2.1432,-0.337,0.882,-0.4923,-0.1795,30.0
v0104,lstm,noabs,lt1,EMG+NIRS,,5.2107,5.1119,5.1534,5.1274,5.1119,5.1671,0.062,0.548,4130,18,4.7524,4.2898,1.766,3.0854,0.0,0.5,-0.4583,0.0988,75.0
v0104,lstm,noabs,lt2,EMG+NIRS,,5.6648,5.8814,5.8814,6.0467,6.2631,6.9846,-0.206,0.409,3634,17,5.1406,4.5,1.897,2.2177,-0.289,0.706,-0.5242,-0.2166,30.0
v0104,lstm,noabs,lt1,EMG+NIRS+HRV,,5.0399,5.0154,5.0179,5.0154,5.0276,5.1571,0.113,0.608,4130,18,4.5849,4.3149,1.7531,2.8153,0.083,0.333,-0.455,0.0245,50.0
v0104,lstm,noabs,lt2,EMG+NIRS+HRV,,5.4315,5.6615,5.6615,5.8392,6.073,6.8455,-0.143,0.582,3634,17,4.9369,4.5094,1.8395,1.9165,-0.25,0.647,-0.4946,-0.23,30.0
v0105,tcn,with_abs,lt1,EMG,,5.6277,5.6211,5.6211,5.6309,5.6595,5.855,-0.052,-0.404,4130,18,5.1952,4.87,1.6141,2.6523,-0.152,1.0,-0.4325,0.0066,30.0
v0105,tcn,with_abs,lt2,EMG,,5.4056,5.4362,5.4362,5.4742,5.5389,5.8422,-0.015,0.088,3553,16,4.95,4.7038,1.6403,2.4683,-0.104,0.938,-0.4556,-0.0306,30.0
v0105,tcn,with_abs,lt1,NIRS,,5.5984,5.5759,5.5768,5.5759,5.5917,5.7505,-0.045,-0.292,4130,18,5.1681,4.8923,1.6204,2.6671,-0.134,1.0,-0.4303,0.0225,50.0
v0105,tcn,with_abs,lt2,NIRS,,5.4491,5.5119,5.5119,5.5704,5.6594,6.0303,-0.058,0.061,3553,16,4.9757,4.6299,1.7146,2.4084,-0.083,0.938,-0.4734,-0.0628,30.0
v0105,tcn,with_abs,lt1,EMG+NIRS,,5.6119,5.6097,5.6097,5.6224,5.6546,5.8587,-0.042,-0.378,4130,18,5.1862,4.8376,1.5857,2.4609,-0.177,1.0,-0.4257,0.0022,30.0
v0105,tcn,with_abs,lt2,EMG+NIRS,,5.3663,5.399,5.399,5.4388,5.5061,5.8181,-0.004,0.198,3553,16,4.9333,4.6189,1.568,2.3698,-0.099,1.0,-0.433,-0.0327,30.0
v0105,tcn,with_abs,lt1,EMG+NIRS+HRV,,5.6186,5.6135,5.6135,5.6242,5.6547,5.857,-0.047,-0.371,4130,18,5.1887,4.8584,1.5976,2.5853,-0.179,1.0,-0.4299,0.0051,30.0
v0105,tcn,with_abs,lt2,EMG+NIRS+HRV,,5.2931,5.3266,5.3266,5.3672,5.4356,5.751,0.029,0.342,3553,16,4.8734,4.6236,1.5195,2.4691,-0.08,0.938,-0.4197,-0.0335,30.0
v0105,tcn,noabs,lt1,EMG,,5.6217,5.6161,5.6161,5.6269,5.6569,5.8557,-0.047,-0.32,4130,18,5.1904,4.811,1.6107,2.6922,-0.149,1.0,-0.4313,0.0056,30.0
v0105,tcn,noabs,lt2,EMG,,5.3747,5.414,5.414,5.457,5.5268,5.8406,-0.005,0.125,3553,16,4.9269,4.508,1.6169,2.4106,-0.105,0.875,-0.4478,-0.0393,30.0
