version,variant,target,feature_set,status
v0105,with_abs,lt2,EMG+NIRS+HRV,ok (n=16)
v0105,noabs,lt1,EMG,ok (n=18)
v0105,noabs,lt1,NIRS,ok (n=18)
v0105,noabs,lt1,EMG+NIRS,ok (n=18)
v0105,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0105,noabs,lt2,EMG,ok (n=16)
v0105,noabs,lt2,NIRS,ok (n=16)
v0105,noabs,lt2,EMG+NIRS,ok (n=16)
v0105,noabs,lt2,EMG+NIRS+HRV,ok (n=16)
v0106a,with_abs,lt1,EMG,ok (n=18)
v0106a,with_abs,lt1,NIRS,ok (n=18)
v0106a,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106a,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106a,with_abs,lt2,EMG,ok (n=17)
v0106a,with_abs,lt2,NIRS,ok (n=17)
v0106a,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106a,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106a,noabs,lt1,EMG,ok (n=18)
v0106a,noabs,lt1,NIRS,ok (n=18)
v0106a,noabs,lt1,EMG+NIRS,ok (n=18)
v0106a,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106a,noabs,lt2,EMG,ok (n=17)
v0106a,noabs,lt2,NIRS,ok (n=17)
v0106a,noabs,lt2,EMG+NIRS,ok (n=17)
v0106a,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106b,with_abs,lt1,EMG,ok (n=18)
v0106b,with_abs,lt1,NIRS,ok (n=18)
v0106b,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106b,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106b,with_abs,lt2,EMG,ok (n=17)
v0106b,with_abs,lt2,NIRS,ok (n=17)
v0106b,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106b,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106b,noabs,lt1,EMG,ok (n=18)
v0106b,noabs,lt1,NIRS,ok (n=18)
v0106b,noabs,lt1,EMG+NIRS,ok (n=18)
v0106b,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106b,noabs,lt2,EMG,ok (n=17)
v0106b,noabs,lt2,NIRS,ok (n=17)
v0106b,noabs,lt2,EMG+NIRS,ok (n=17)
v0106b,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106c,with_abs,lt1,EMG,ok (n=18)
v0106c,with_abs,lt1,NIRS,ok (n=18)
v0106c,with_abs,lt1,EMG+NIRS,ok (n=18)
v0106c,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106c,with_abs,lt2,EMG,ok (n=17)
v0106c,with_abs,lt2,NIRS,ok (n=17)
v0106c,with_abs,lt2,EMG+NIRS,ok (n=17)
v0106c,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0106c,noabs,lt1,EMG,ok (n=18)
v0106c,noabs,lt1,NIRS,ok (n=18)
v0106c,noabs,lt1,EMG+NIRS,ok (n=18)
v0106c,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0106c,noabs,lt2,EMG,ok (n=17)
v0106c,noabs,lt2,NIRS,ok (n=17)
