version,variant,target,feature_set,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows
v0107,with_abs,lt1,EMG+NIRS+HRV,3.7749,3.8967,30.0,3.8967,4.0066,4.1479,4.651,0.47,0.767,4130
v0107,with_abs,lt2,EMG+NIRS+HRV,2.5798,2.7835,30.0,2.7835,2.9412,3.1481,3.8088,0.775,0.898,3634
v0107,noabs,lt1,EMG,2.9009,3.0264,30.0,3.0264,3.1701,3.3823,4.117,0.621,0.857,4130
v0107,noabs,lt2,EMG,3.3579,3.5088,30.0,3.5088,3.6405,3.8204,4.4282,0.573,0.81,3634
v0107,noabs,lt1,NIRS,4.4825,4.5607,30.0,4.5607,4.661,4.8023,5.2849,0.219,0.654,4130
v0107,noabs,lt2,NIRS,4.4838,4.5407,30.0,4.5407,4.6298,4.7454,5.131,0.251,0.626,3634
v0107,noabs,lt1,EMG+NIRS,3.0437,3.1713,30.0,3.1713,3.3203,3.5335,4.2832,0.563,0.82,4130
v0107,noabs,lt2,EMG+NIRS,3.2669,3.4169,30.0,3.4169,3.5572,3.7399,4.3587,0.605,0.792,3634
v0107,noabs,lt1,EMG+NIRS+HRV,3.3445,3.4787,30.0,3.4787,3.6056,3.7838,4.4469,0.528,0.804,4130
v0107,noabs,lt2,EMG+NIRS+HRV,2.5445,2.6755,30.0,2.6755,2.8256,3.0378,3.7901,0.77,0.898,3634
