feature_set,target,alpha_sel,model,n_subjects,n_features_in,avg_selected,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG,lt2,0.1,"GBM(n=100,d=2)",19,79,75.8,3.3189,3.1392,0.578,0.795,77.5
EMG,lt2,0.1,Ridge(α=10),19,79,75.8,3.4009,3.1525,0.556,0.776,4.1
EMG,lt2,0.1,Ridge(α=1),19,79,75.8,3.4439,3.1778,0.542,0.77,4.1
EMG,lt2,0.1,"GBM(n=200,d=2)",19,79,75.8,3.391,3.1836,0.563,0.786,138.5
EMG,lt2,0.3,"EN(α=1.0,l1=0.2)",19,79,74.3,3.1314,2.9935,0.626,0.823,2.8
EMG,lt2,0.3,"EN(α=1.0,l1=0.5)",19,79,74.3,3.1439,2.995,0.625,0.821,2.7
EMG,lt2,0.3,Ridge(α=1000),19,79,74.3,3.1735,3.0092,0.62,0.817,2.4
EMG,lt2,0.3,"EN(α=0.1,l1=0.2)",19,79,74.3,3.2329,3.0446,0.604,0.806,3.8
EMG,lt2,0.3,"EN(α=0.1,l1=0.5)",19,79,74.3,3.2563,3.0581,0.597,0.801,3.9
EMG,lt2,0.3,Ridge(α=100),19,79,74.3,3.2892,3.078,0.588,0.795,2.5
EMG,lt2,0.3,"EN(α=0.01,l1=0.2)",19,79,74.3,3.354,3.1198,0.569,0.783,7.3
EMG,lt2,0.3,"EN(α=0.01,l1=0.5)",19,79,74.3,3.3736,3.133,0.563,0.78,7.7
EMG,lt2,0.3,"GBM(n=100,d=2)",19,79,74.3,3.3045,3.1383,0.581,0.795,73.1
EMG,lt2,0.3,Ridge(α=10),19,79,74.3,3.3965,3.1468,0.557,0.776,2.5
EMG,lt2,0.3,Ridge(α=1),19,79,74.3,3.4336,3.1697,0.544,0.769,2.5
EMG,lt2,0.3,"GBM(n=200,d=2)",19,79,74.3,3.3879,3.1878,0.564,0.786,133.0
EMG,lt2,1.0,"EN(α=1.0,l1=0.5)",19,79,64.2,3.1429,2.9982,0.624,0.821,1.6
EMG,lt2,1.0,"EN(α=1.0,l1=0.2)",19,79,64.2,3.1329,2.9992,0.624,0.822,1.6
EMG,lt2,1.0,Ridge(α=1000),19,79,64.2,3.1696,3.0095,0.619,0.817,1.4
EMG,lt2,1.0,"EN(α=0.1,l1=0.2)",19,79,64.2,3.2307,3.0445,0.604,0.806,2.2
EMG,lt2,1.0,"EN(α=0.1,l1=0.5)",19,79,64.2,3.2526,3.0567,0.599,0.802,2.2
EMG,lt2,1.0,Ridge(α=100),19,79,64.2,3.2802,3.0729,0.592,0.797,1.4
EMG,lt2,1.0,"EN(α=0.01,l1=0.2)",19,79,64.2,3.3287,3.1028,0.578,0.787,4.6
EMG,lt2,1.0,"EN(α=0.01,l1=0.5)",19,79,64.2,3.3436,3.1118,0.574,0.785,4.7
EMG,lt2,1.0,Ridge(α=10),19,79,64.2,3.3619,3.1212,0.568,0.781,1.4
EMG,lt2,1.0,Ridge(α=1),19,79,64.2,3.3971,3.1312,0.557,0.776,1.5
EMG,lt2,1.0,"GBM(n=100,d=2)",19,79,64.2,3.3104,3.1461,0.583,0.797,62.2
EMG,lt2,1.0,"GBM(n=200,d=2)",19,79,64.2,3.4013,3.2088,0.566,0.786,114.5
EMG+NIRS,lt1,0.01,"EN(α=1.0,l1=0.5)",14,97,96.8,2.6423,2.4902,0.759,0.89,11.3
EMG+NIRS,lt1,0.01,Ridge(α=1000),14,97,96.8,2.6713,2.5065,0.755,0.886,10.7
EMG+NIRS,lt1,0.01,"EN(α=1.0,l1=0.2)",14,97,96.8,2.6376,2.5067,0.758,0.891,11.1
EMG+NIRS,lt1,0.01,"GBM(n=100,d=2)",14,97,96.8,2.739,2.5696,0.741,0.867,72.0
EMG+NIRS,lt1,0.01,"GBM(n=200,d=2)",14,97,96.8,2.7938,2.6306,0.733,0.862,118.8
EMG+NIRS,lt1,0.01,"EN(α=0.1,l1=0.2)",14,97,96.8,2.8362,2.6484,0.728,0.869,12.6
EMG+NIRS,lt1,0.01,"EN(α=0.1,l1=0.5)",14,97,96.8,2.9127,2.7152,0.714,0.862,12.7
EMG+NIRS,lt1,0.01,Ridge(α=100),14,97,96.8,2.9945,2.7868,0.698,0.855,10.9
EMG+NIRS,lt1,0.01,"EN(α=0.01,l1=0.2)",14,97,96.8,3.2852,3.0533,0.637,0.828,17.7
EMG+NIRS,lt1,0.01,"EN(α=0.01,l1=0.5)",14,97,96.8,3.372,3.1366,0.618,0.82,17.8
EMG+NIRS,lt1,0.01,Ridge(α=10),14,97,96.8,3.4446,3.207,0.603,0.814,10.8
EMG+NIRS,lt1,0.01,Ridge(α=1),14,97,96.8,3.6834,3.4309,0.548,0.791,10.8
