feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS,lt1,Huber(ε=2.0),14,97,3.7883,3.4922,0.512,0.782,29.5
EMG+NIRS,lt1,"EN(α=0.01,l1=0.2)",14,97,3.3332,3.0897,0.623,0.822,16.0
EMG+NIRS,lt1,"EN(α=0.01,l1=0.5)",14,97,3.4107,3.1572,0.606,0.816,13.3
EMG+NIRS,lt1,"EN(α=0.01,l1=0.9)",14,97,3.6149,3.3444,0.559,0.798,18.2
EMG+NIRS,lt1,"EN(α=0.1,l1=0.2)",14,97,2.9164,2.7474,0.711,0.86,4.7
EMG+NIRS,lt1,"EN(α=0.1,l1=0.5)",14,97,2.9913,2.8086,0.697,0.852,5.5
EMG+NIRS,lt1,"EN(α=0.1,l1=0.9)",14,97,3.2651,3.0322,0.638,0.828,7.2
EMG+NIRS,lt1,"EN(α=1.0,l1=0.2)",14,97,2.7063,2.6026,0.748,0.885,2.4
EMG+NIRS,lt1,"EN(α=1.0,l1=0.5)",14,97,2.7121,2.5931,0.747,0.883,2.6
EMG+NIRS,lt1,"EN(α=1.0,l1=0.9)",14,97,2.8394,2.6841,0.724,0.867,2.6
EMG+NIRS,lt1,"GBM(n=50,d=2)",14,97,2.6085,2.4691,0.754,0.874,68.2
EMG+NIRS,lt1,"GBM(n=50,d=3)",14,97,2.865,2.7687,0.707,0.851,90.2
EMG+NIRS,lt1,"GBM(n=100,d=2)",14,97,2.6863,2.5442,0.742,0.866,118.5
EMG+NIRS,lt1,"GBM(n=100,d=3)",14,97,2.9134,2.8185,0.699,0.848,167.8
EMG+NIRS,lt1,"GBM(n=200,d=2)",14,97,2.7093,2.5679,0.741,0.866,221.3
EMG+NIRS,lt1,"GBM(n=200,d=3)",14,97,2.9466,2.8594,0.694,0.845,312.9
EMG+NIRS,lt1,"SVR(C=1,ε=0.1)",14,97,4.3437,4.3502,0.304,0.768,20.9
EMG+NIRS,lt1,"SVR(C=1,ε=1.0)",14,97,4.344,4.3504,0.304,0.768,21.5
EMG+NIRS,lt1,"SVR(C=10,ε=0.1)",14,97,3.2366,3.1162,0.604,0.824,19.6
EMG+NIRS,lt1,"SVR(C=10,ε=1.0)",14,97,3.2369,3.1165,0.604,0.824,20.2
EMG+NIRS,lt1,"SVR(C=100,ε=0.1)",14,97,3.0522,2.8976,0.663,0.846,24.6
EMG+NIRS,lt1,"SVR(C=100,ε=1.0)",14,97,3.0514,2.897,0.663,0.846,20.2
EMG+NIRS+HRV,lt1,Ridge(α=1),14,107,3.1919,3.0286,0.631,0.836,0.9
EMG+NIRS+HRV,lt1,Ridge(α=10),14,107,3.0276,2.864,0.665,0.849,1.0
EMG+NIRS+HRV,lt1,Ridge(α=100),14,107,2.6523,2.5224,0.75,0.88,0.9
EMG+NIRS+HRV,lt1,Ridge(α=1000),14,107,2.3219,2.2605,0.81,0.91,1.0
EMG+NIRS+HRV,lt1,Huber(ε=1.1),14,107,3.4497,3.2892,0.553,0.795,41.6
