feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,"EN(α=0.01,l1=0.9)",S011,1.9913,0.735
EMG,lt2,"EN(α=0.01,l1=0.9)",S012,3.7985,-0.785
EMG,lt2,"EN(α=0.01,l1=0.9)",S013,8.8091,-1.871
EMG,lt2,"EN(α=0.01,l1=0.9)",S014,1.9,0.818
EMG,lt2,"EN(α=0.01,l1=0.9)",S016,1.8733,0.768
EMG,lt2,"EN(α=0.01,l1=0.9)",S017,2.714,0.505
EMG,lt2,"EN(α=0.01,l1=0.9)",S018,2.9686,-1.73
EMG,lt2,"EN(α=0.01,l1=0.9)",S019,6.1887,0.242
EMG,lt2,"EN(α=0.1,l1=0.2)",S001,2.0445,0.799
EMG,lt2,"EN(α=0.1,l1=0.2)",S002,5.557,-1.952
EMG,lt2,"EN(α=0.1,l1=0.2)",S003,7.0826,-2.708
EMG,lt2,"EN(α=0.1,l1=0.2)",S004,8.5091,-13.191
EMG,lt2,"EN(α=0.1,l1=0.2)",S005,8.475,-1.509
EMG,lt2,"EN(α=0.1,l1=0.2)",S006,4.7284,-1.268
EMG,lt2,"EN(α=0.1,l1=0.2)",S007,2.3775,-1.054
EMG,lt2,"EN(α=0.1,l1=0.2)",S008,1.1294,0.833
EMG,lt2,"EN(α=0.1,l1=0.2)",S009,8.0354,-0.208
EMG,lt2,"EN(α=0.1,l1=0.2)",S010,3.4161,0.599
EMG,lt2,"EN(α=0.1,l1=0.2)",S011,4.0966,-0.083
EMG,lt2,"EN(α=0.1,l1=0.2)",S012,1.7894,0.643
EMG,lt2,"EN(α=0.1,l1=0.2)",S013,11.1998,-3.205
EMG,lt2,"EN(α=0.1,l1=0.2)",S014,1.8808,0.775
EMG,lt2,"EN(α=0.1,l1=0.2)",S016,2.494,0.369
EMG,lt2,"EN(α=0.1,l1=0.2)",S017,3.8841,0.121
EMG,lt2,"EN(α=0.1,l1=0.2)",S018,2.3887,-1.107
EMG,lt2,"EN(α=0.1,l1=0.2)",S019,8.7242,-0.347
EMG,lt2,"EN(α=0.1,l1=0.5)",S001,2.1323,0.784
EMG,lt2,"EN(α=0.1,l1=0.5)",S002,5.9902,-2.413
EMG,lt2,"EN(α=0.1,l1=0.5)",S003,7.6082,-3.743
EMG,lt2,"EN(α=0.1,l1=0.5)",S004,9.3284,-16.158
EMG,lt2,"EN(α=0.1,l1=0.5)",S005,8.4988,-1.505
EMG,lt2,"EN(α=0.1,l1=0.5)",S006,4.5151,-1.073
EMG,lt2,"EN(α=0.1,l1=0.5)",S007,2.354,-1.24
EMG,lt2,"EN(α=0.1,l1=0.5)",S008,1.0961,0.839
EMG,lt2,"EN(α=0.1,l1=0.5)",S009,8.5864,-0.379
EMG,lt2,"EN(α=0.1,l1=0.5)",S010,3.5519,0.581
EMG,lt2,"EN(α=0.1,l1=0.5)",S011,4.0945,-0.075
EMG,lt2,"EN(α=0.1,l1=0.5)",S012,2.0697,0.501
EMG,lt2,"EN(α=0.1,l1=0.5)",S013,11.524,-3.511
EMG,lt2,"EN(α=0.1,l1=0.5)",S014,1.9433,0.768
EMG,lt2,"EN(α=0.1,l1=0.5)",S016,2.4163,0.442
EMG,lt2,"EN(α=0.1,l1=0.5)",S017,3.9902,0.073
EMG,lt2,"EN(α=0.1,l1=0.5)",S018,2.4878,-1.243
