script,variant,feature_set,target,subject_id,mae_min,trained
v0011,best_model,NIRS,lt2,S019,4.4357,1
v0102,with_abs,EMG,lt1,S002,3.3972,0
v0102,with_abs,EMG,lt1,S003,7.7031,1
v0102,with_abs,EMG,lt1,S004,4.907,0
v0102,with_abs,EMG,lt1,S006,3.9374,0
v0102,with_abs,EMG,lt1,S008,5.8538,0
v0102,with_abs,EMG,lt1,S009,9.7368,1
v0102,with_abs,EMG,lt1,S010,6.3773,1
v0102,with_abs,EMG,lt1,S011,3.9373,0
v0102,with_abs,EMG,lt1,S013,7.6544,1
v0102,with_abs,EMG,lt1,S014,5.5492,0
v0102,with_abs,EMG,lt1,S016,3.8141,0
v0102,with_abs,EMG,lt1,S017,4.1618,1
v0102,with_abs,EMG,lt1,S018,4.9509,0
v0102,with_abs,EMG,lt1,S019,9.1941,1
v0102,noabs,EMG,lt1,S002,3.4432,0
v0102,noabs,EMG,lt1,S003,7.1332,1
v0102,noabs,EMG,lt1,S004,5.4693,0
v0102,noabs,EMG,lt1,S006,3.8616,0
v0102,noabs,EMG,lt1,S008,5.7217,0
v0102,noabs,EMG,lt1,S009,10.0124,1
v0102,noabs,EMG,lt1,S010,6.421,1
v0102,noabs,EMG,lt1,S011,4.1875,0
v0102,noabs,EMG,lt1,S013,7.4613,1
v0102,noabs,EMG,lt1,S014,5.2653,0
v0102,noabs,EMG,lt1,S016,3.9195,0
v0102,noabs,EMG,lt1,S017,4.1808,1
v0102,noabs,EMG,lt1,S018,5.2817,0
v0102,noabs,EMG,lt1,S019,9.3389,1
v0102,with_abs,NIRS,lt1,S002,3.3481,0
v0102,with_abs,NIRS,lt1,S003,6.5107,1
v0102,with_abs,NIRS,lt1,S004,6.0476,0
v0102,with_abs,NIRS,lt1,S006,2.9376,0
v0102,with_abs,NIRS,lt1,S008,6.2123,0
v0102,with_abs,NIRS,lt1,S009,6.5881,1
v0102,with_abs,NIRS,lt1,S010,6.4493,1
v0102,with_abs,NIRS,lt1,S011,3.8705,0
v0102,with_abs,NIRS,lt1,S013,5.0407,1
v0102,with_abs,NIRS,lt1,S014,5.1853,0
v0102,with_abs,NIRS,lt1,S016,4.3516,0
v0102,with_abs,NIRS,lt1,S017,4.5843,1
v0102,with_abs,NIRS,lt1,S018,5.094,0
v0102,with_abs,NIRS,lt1,S019,6.9462,1
v0102,noabs,NIRS,lt1,S002,3.3503,0
v0102,noabs,NIRS,lt1,S003,6.2636,1
v0102,noabs,NIRS,lt1,S004,5.9678,0
v0102,noabs,NIRS,lt1,S006,2.9388,0
v0102,noabs,NIRS,lt1,S008,6.1922,0
v0102,noabs,NIRS,lt1,S009,6.8222,1
v0102,noabs,NIRS,lt1,S010,6.4038,1
v0102,noabs,NIRS,lt1,S011,4.7035,0
v0102,noabs,NIRS,lt1,S013,5.4778,1
v0102,noabs,NIRS,lt1,S014,5.2126,0
v0102,noabs,NIRS,lt1,S016,4.0705,0
v0102,noabs,NIRS,lt1,S017,4.6064,1
v0102,noabs,NIRS,lt1,S018,5.1307,0
v0102,noabs,NIRS,lt1,S019,7.835,1
v0102,with_abs,EMG+NIRS,lt1,S002,3.3954,0
v0102,with_abs,EMG+NIRS,lt1,S003,6.6929,1
v0102,with_abs,EMG+NIRS,lt1,S004,5.468,0
v0102,with_abs,EMG+NIRS,lt1,S006,2.9417,0
v0102,with_abs,EMG+NIRS,lt1,S008,4.9423,0
v0102,with_abs,EMG+NIRS,lt1,S009,8.7647,1
v0102,with_abs,EMG+NIRS,lt1,S010,5.7209,1
v0102,with_abs,EMG+NIRS,lt1,S011,4.1227,0
v0102,with_abs,EMG+NIRS,lt1,S013,4.4568,1
v0102,with_abs,EMG+NIRS,lt1,S014,5.0168,0
v0102,with_abs,EMG+NIRS,lt1,S016,3.6478,0
v0102,with_abs,EMG+NIRS,lt1,S017,4.5868,1
v0102,with_abs,EMG+NIRS,lt1,S018,5.2089,0
v0102,with_abs,EMG+NIRS,lt1,S019,9.6743,1
v0102,noabs,EMG+NIRS,lt1,S002,3.3302,0
v0102,noabs,EMG+NIRS,lt1,S003,5.5958,1
v0102,noabs,EMG+NIRS,lt1,S004,5.3811,0
v0102,noabs,EMG+NIRS,lt1,S006,3.454,0
v0102,noabs,EMG+NIRS,lt1,S008,6.0704,0
v0102,noabs,EMG+NIRS,lt1,S009,9.6728,1
v0102,noabs,EMG+NIRS,lt1,S010,5.4612,1
v0102,noabs,EMG+NIRS,lt1,S011,4.0454,0
v0102,noabs,EMG+NIRS,lt1,S013,4.4436,1
v0102,noabs,EMG+NIRS,lt1,S014,5.3147,0
v0102,noabs,EMG+NIRS,lt1,S016,4.1401,0
v0102,noabs,EMG+NIRS,lt1,S017,4.4084,1
v0102,noabs,EMG+NIRS,lt1,S018,4.6392,0
v0102,noabs,EMG+NIRS,lt1,S019,9.803,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S002,3.3619,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S003,8.3426,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S004,4.9427,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S006,2.97,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S008,5.5353,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S009,8.0211,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S010,5.3701,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S011,3.9247,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S013,4.3791,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S014,5.7895,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S016,4.5959,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S017,4.6023,1
v0102,with_abs,EMG+NIRS+HRV,lt1,S018,4.804,0
v0102,with_abs,EMG+NIRS+HRV,lt1,S019,8.7683,1
v0102,noabs,EMG+NIRS+HRV,lt1,S002,3.385,0
v0102,noabs,EMG+NIRS+HRV,lt1,S003,7.6323,1
v0102,noabs,EMG+NIRS+HRV,lt1,S004,5.562,0
v0102,noabs,EMG+NIRS+HRV,lt1,S006,3.1238,0
v0102,noabs,EMG+NIRS+HRV,lt1,S008,4.9218,0
v0102,noabs,EMG+NIRS+HRV,lt1,S009,8.6043,1
v0102,noabs,EMG+NIRS+HRV,lt1,S010,5.3014,1
v0102,noabs,EMG+NIRS+HRV,lt1,S011,3.7892,0
v0102,noabs,EMG+NIRS+HRV,lt1,S013,4.0527,1
v0102,noabs,EMG+NIRS+HRV,lt1,S014,5.6969,0
v0102,noabs,EMG+NIRS+HRV,lt1,S016,4.426,0
v0102,noabs,EMG+NIRS+HRV,lt1,S017,3.9365,1
v0102,noabs,EMG+NIRS+HRV,lt1,S018,3.6792,0
v0102,noabs,EMG+NIRS+HRV,lt1,S019,9.3018,1
v0102,with_abs,EMG,lt2,S001,4.2371,0
v0102,with_abs,EMG,lt2,S002,7.4056,0
v0102,with_abs,EMG,lt2,S003,8.8505,1
v0102,with_abs,EMG,lt2,S004,6.0041,0
v0102,with_abs,EMG,lt2,S005,5.7742,0
v0102,with_abs,EMG,lt2,S006,3.5318,0
v0102,with_abs,EMG,lt2,S008,6.9663,0
v0102,with_abs,EMG,lt2,S009,12.0578,1
v0102,with_abs,EMG,lt2,S010,6.1668,1
v0102,with_abs,EMG,lt2,S011,3.6465,0
v0102,with_abs,EMG,lt2,S012,4.5188,0
v0102,with_abs,EMG,lt2,S013,8.5199,1
v0102,with_abs,EMG,lt2,S014,4.7204,0
v0102,with_abs,EMG,lt2,S016,6.2261,0
v0102,with_abs,EMG,lt2,S017,4.2111,1
v0102,with_abs,EMG,lt2,S019,11.5462,1
v0102,noabs,EMG,lt2,S001,5.3013,0
v0102,noabs,EMG,lt2,S002,6.498,0
v0102,noabs,EMG,lt2,S003,11.319,1
v0102,noabs,EMG,lt2,S004,7.8346,0
v0102,noabs,EMG,lt2,S005,4.8593,0
v0102,noabs,EMG,lt2,S006,3.9361,0
v0102,noabs,EMG,lt2,S008,7.0885,0
v0102,noabs,EMG,lt2,S009,12.6439,1
v0102,noabs,EMG,lt2,S010,6.2407,1
v0102,noabs,EMG,lt2,S011,5.0715,0
v0102,noabs,EMG,lt2,S012,3.9365,0
v0102,noabs,EMG,lt2,S013,10.2448,1
v0102,noabs,EMG,lt2,S014,3.7162,0
v0102,noabs,EMG,lt2,S016,6.9775,0
v0102,noabs,EMG,lt2,S017,4.9435,1
v0102,noabs,EMG,lt2,S019,12.025,1
v0102,with_abs,NIRS,lt2,S001,12.8742,0
v0102,with_abs,NIRS,lt2,S002,15.0744,0
v0102,with_abs,NIRS,lt2,S003,8.1106,1
v0102,with_abs,NIRS,lt2,S004,5.9321,0
v0102,with_abs,NIRS,lt2,S005,7.0341,0
