ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0301,lt1,EMG_NIRS_HRV,12,235,274.29776,-895.7022,-265.98406982421875,419.91839599609375,-804.4715576171875,648.403076171875,112.34410858154297,False,False,False
v0301,lt1,EMG_NIRS_HRV,13,197,298.84982,-681.1502,-305.4853515625,267.23760986328125,-651.2508544921875,166.834716796875,140.9747772216797,False,False,False
v0301,lt1,EMG_NIRS_HRV,14,158,240.73628,-544.26373,-275.29595947265625,218.0870361328125,-538.8784790039062,139.6378173828125,126.54425811767578,False,False,False
v0301,lt1,EMG_NIRS_HRV,15,191,190.97755,-759.02246,-19.00634002685547,221.44725036621094,-472.0895080566406,417.5729064941406,265.01611328125,False,False,False
v0301,lt1,EMG_NIRS_HRV,16,187,365.51236,-564.4876,-136.65841674804688,220.74642944335938,-552.3074340820312,180.9550018310547,51.565059661865234,False,False,False
v0301,lt1,EMG_NIRS_HRV,17,289,620.67535,-819.32465,-226.40432739257812,290.1537170410156,-526.8046875,451.7123718261719,192.84046936035156,False,False,False
v0301,lt2,EMG,0,178,445.61713,-534.3829,272.02325439453125,253.83428955078125,-91.09339904785156,877.1528930664062,312.136474609375,False,False,False
v0301,lt2,EMG,1,124,515.78217,-99.217865,666.7142944335938,223.96282958984375,182.51585388183594,1027.62939453125,458.43206787109375,False,False,False
v0301,lt2,EMG,2,241,1076.876,-353.12402,255.94369506835938,289.02362060546875,-170.63214111328125,1035.7379150390625,103.99375915527344,False,False,False
v0301,lt2,EMG,3,139,477.75867,-212.24132,194.052978515625,213.63023376464844,-154.5054168701172,620.9715576171875,81.45362854003906,False,False,False
v0301,lt2,EMG,4,210,415.30423,-634.69574,303.1189880371094,154.32000732421875,-148.55355834960938,633.658447265625,410.40997314453125,False,False,False
v0301,lt2,EMG,5,109,353.7734,-186.22658,302.5969543457031,210.75428771972656,51.96176528930664,867.8359985351562,218.82347106933594,False,False,False
v0301,lt2,EMG,6,118,517.89026,-67.10974,208.2322235107422,217.33660888671875,-158.0885009765625,716.2168579101562,64.35145568847656,False,False,False
v0301,lt2,EMG,7,324,1256.7891,-358.21088,679.0604858398438,155.26773071289062,377.19580078125,986.5958251953125,352.3544616699219,False,False,False
v0301,lt2,EMG,8,288,1087.3141,-347.6859,465.5367431640625,248.93678283691406,-65.68482208251953,854.200439453125,236.16685485839844,False,False,False
v0301,lt2,EMG,9,151,442.17828,-307.82172,270.72222900390625,320.82061767578125,-129.13943481445312,975.228759765625,203.54393005371094,False,False,False
v0301,lt2,EMG,10,131,371.65594,-278.34406,49.716033935546875,198.77381896972656,-143.47445678710938,773.5162963867188,75.03382873535156,False,False,False
v0301,lt2,EMG,11,233,817.4459,-342.55408,33.397274017333984,249.0912628173828,-372.3634033203125,773.494384765625,207.8948211669922,False,False,False
v0301,lt2,EMG,12,195,540.5898,-429.41022,124.13330078125,191.466064453125,-124.94740295410156,638.9786376953125,96.55721282958984,False,False,False
v0301,lt2,EMG,13,156,490.31714,-284.68286,81.02232360839844,205.92459106445312,-171.5540313720703,583.1211547851562,54.642704010009766,False,False,False
v0301,lt2,EMG,14,189,695.85535,-244.14467,318.6878662109375,107.25718688964844,162.68934631347656,677.7633056640625,163.2597198486328,False,False,False
v0301,lt2,EMG,15,51,444.28854,194.28853,421.73828125,108.76615905761719,261.4652099609375,632.040283203125,102.4497299194336,False,False,False
v0301,lt2,EMG,16,287,1025.761,-404.23907,69.72663879394531,271.35906982421875,-192.37754821777344,640.044677734375,277.3608093261719,False,False,False
v0301,lt2,EMG_NIRS,0,178,445.61713,-534.3829,218.7398681640625,183.54673767089844,-55.37522506713867,532.0686645507812,258.85308837890625,False,False,False
v0301,lt2,EMG_NIRS,1,124,515.78217,-99.217865,463.2657165527344,66.35926055908203,258.85699462890625,560.2647705078125,267.7351379394531,False,False,False
v0301,lt2,EMG_NIRS,2,241,1076.876,-353.12402,121.87783813476562,440.60986328125,-211.95169067382812,1209.5616455078125,219.5088348388672,False,False,True
v0301,lt2,EMG_NIRS,3,139,477.75867,-212.24132,145.4139862060547,221.97103881835938,-133.44102478027344,553.05810546875,59.755924224853516,False,False,False
v0301,lt2,EMG_NIRS,4,210,415.30423,-634.69574,454.720458984375,308.5295715332031,-204.6766357421875,801.7930297851562,562.011474609375,False,False,False
v0301,lt2,EMG_NIRS,5,109,353.7734,-186.22658,344.69580078125,297.2621765136719,-29.48177719116211,844.6474609375,260.92236328125,False,False,False
v0301,lt2,EMG_NIRS,6,118,517.89026,-67.10974,144.57252502441406,144.74832153320312,-66.53146362304688,448.9566345214844,80.88894653320312,False,False,False
v0301,lt2,EMG_NIRS,7,324,1256.7891,-358.21088,468.9801330566406,238.9313507080078,94.3502197265625,934.748046875,208.132568359375,False,False,False
v0301,lt2,EMG_NIRS,8,288,1087.3141,-347.6859,441.7747802734375,308.70489501953125,-177.12184143066406,1052.4256591796875,178.94590759277344,False,False,False
v0301,lt2,EMG_NIRS,9,151,442.17828,-307.82172,172.2657012939453,155.71559143066406,-78.67162322998047,513.422119140625,109.18219757080078,False,False,False
v0301,lt2,EMG_NIRS,10,131,371.65594,-278.34406,42.83796691894531,312.5791320800781,-308.6764831542969,499.7781677246094,133.01824951171875,False,False,False
v0301,lt2,EMG_NIRS,11,233,817.4459,-342.55408,103.67095947265625,327.4017333984375,-279.970458984375,999.1622924804688,152.5979766845703,False,False,False
v0301,lt2,EMG_NIRS,12,195,540.5898,-429.41022,226.33453369140625,124.79136657714844,-11.831191062927246,471.93841552734375,203.7392578125,False,False,False
v0301,lt2,EMG_NIRS,13,156,490.31714,-284.68286,33.66469955444336,206.02793884277344,-197.83665466308594,434.2453308105469,81.4937744140625,False,False,False
v0301,lt2,EMG_NIRS,14,189,695.85535,-244.14467,338.23394775390625,186.2361602783203,114.3537826538086,1045.614990234375,163.4029541015625,False,False,False
v0301,lt2,EMG_NIRS,15,51,444.28854,194.28853,418.5845947265625,88.02320861816406,275.8645935058594,565.0636596679688,99.2960205078125,False,False,False
v0301,lt2,EMG_NIRS,16,287,1025.761,-404.23907,127.73938751220703,295.0252685546875,-178.47206115722656,805.183837890625,226.599365234375,False,False,False
v0301,lt2,EMG_NIRS_HRV,0,178,445.61713,-534.3829,240.69580078125,206.60946655273438,-114.54283142089844,550.2213745117188,280.80902099609375,False,False,False
v0301,lt2,EMG_NIRS_HRV,1,124,515.78217,-99.217865,306.1253967285156,135.22085571289062,-40.917213439941406,485.4244384765625,104.47418212890625,False,False,False
v0301,lt2,EMG_NIRS_HRV,2,241,1076.876,-353.12402,107.41401672363281,349.480712890625,-229.42056274414062,1028.1097412109375,180.18179321289062,False,False,False
v0301,lt2,EMG_NIRS_HRV,3,139,477.75867,-212.24132,172.3295440673828,161.70562744140625,-140.8970489501953,553.7581176757812,51.899696350097656,False,False,False
v0301,lt2,EMG_NIRS_HRV,4,210,415.30423,-634.69574,249.4158477783203,180.99131774902344,-150.62826538085938,502.4786682128906,356.70684814453125,False,False,False
v0301,lt2,EMG_NIRS_HRV,5,109,353.7734,-186.22658,296.20111083984375,242.4075164794922,-9.987574577331543,791.2276000976562,212.4276580810547,False,False,False
v0301,lt2,EMG_NIRS_HRV,6,118,517.89026,-67.10974,156.85472106933594,176.90609741210938,-120.32037353515625,448.061279296875,68.53551483154297,False,False,False
v0301,lt2,EMG_NIRS_HRV,7,324,1256.7891,-358.21088,317.3459777832031,357.70709228515625,-254.75621032714844,783.3294067382812,149.38070678710938,False,False,False
v0301,lt2,EMG_NIRS_HRV,8,288,1087.3141,-347.6859,200.00340270996094,281.9134216308594,-142.18934631347656,996.5089721679688,209.088134765625,False,False,False
v0301,lt2,EMG_NIRS_HRV,9,151,442.17828,-307.82172,152.8743896484375,181.89071655273438,-145.46780395507812,540.132080078125,86.77870178222656,False,False,False
v0301,lt2,EMG_NIRS_HRV,10,131,371.65594,-278.34406,107.00169372558594,334.3061218261719,-264.1985778808594,592.6897583007812,150.65512084960938,False,False,False
v0301,lt2,EMG_NIRS_HRV,11,233,817.4459,-342.55408,133.1561737060547,438.6524963378906,-396.3485107421875,962.2686767578125,137.51705932617188,False,False,False
v0301,lt2,EMG_NIRS_HRV,12,195,540.5898,-429.41022,186.2809295654297,148.41915893554688,-114.82707214355469,460.3060607910156,163.7207489013672,False,False,False
v0301,lt2,EMG_NIRS_HRV,13,156,490.31714,-284.68286,48.59009552001953,179.55743408203125,-182.35951232910156,405.6650695800781,73.70161437988281,False,False,False
v0301,lt2,EMG_NIRS_HRV,14,189,695.85535,-244.14467,361.08258056640625,133.39581298828125,150.70066833496094,758.0936889648438,154.35499572753906,False,False,False
v0301,lt2,EMG_NIRS_HRV,15,51,444.28854,194.28853,644.739990234375,158.17897033691406,407.0166320800781,884.4320678710938,325.4514465332031,False,False,False
v0301,lt2,EMG_NIRS_HRV,16,287,1025.761,-404.23907,221.2208251953125,395.25091552734375,-238.28233337402344,1017.2294311523438,122.85147857666016,False,False,False
v0302,lt1,EMG,0,212,98.41573,-956.5843,-259.58624267578125,243.7632598876953,-632.6514892578125,233.92202758789062,169.49801635742188,False,False,False
v0302,lt1,EMG,1,126,190.29907,-434.70093,-80.26043701171875,115.33407592773438,-340.1773681640625,227.2017822265625,92.4355239868164,False,False,False
v0302,lt1,EMG,2,289,715.6045,-724.3955,-422.5613098144531,247.13327026367188,-698.0989990234375,182.70346069335938,424.76806640625,False,False,False
v0302,lt1,EMG,3,142,234.35553,-470.64447,18.875280380249023,112.52604675292969,-255.87985229492188,364.27545166015625,189.35325622558594,False,False,False
v0302,lt1,EMG,4,234,104.008606,-1060.9913,-155.85018920898438,305.9595031738281,-803.3851318359375,274.9491882324219,322.6412353515625,False,False,False
v0302,lt1,EMG,5,111,232.11374,-317.88626,57.39268112182617,124.10893249511719,-155.90597534179688,280.3295593261719,143.668701171875,False,False,False
v0302,lt1,EMG,6,197,155.19516,-824.8048,-72.5001449584961,225.25408935546875,-691.2637939453125,308.0990295410156,262.3046569824219,False,False,False
v0302,lt1,EMG,7,120,166.98906,-428.01093,-14.821714401245117,145.57225036621094,-466.3763427734375,255.90005493164062,120.97817993164062,False,False,False
v0302,lt1,EMG,8,326,275.24228,-1349.7577,4.8704915046691895,157.21160888671875,-255.42234802246094,349.4195251464844,542.9507446289062,False,False,False
v0302,lt1,EMG,9,290,723.96344,-721.03656,-253.62208557128906,274.15185546875,-674.1466064453125,280.4708251953125,269.5404052734375,False,False,False
v0302,lt1,EMG,10,153,228.6978,-531.3022,-67.29391479492188,169.4021759033203,-274.21820068359375,325.84625244140625,87.90213012695312,False,False,False
v0302,lt1,EMG,11,133,115.2754,-544.7246,-139.77488708496094,164.1655731201172,-351.9776916503906,265.29095458984375,77.01069641113281,False,False,False
v0302,lt1,EMG,12,235,274.29776,-895.7022,-299.808349609375,286.7062072753906,-720.6806030273438,258.0726013183594,56.12887954711914,False,False,False
v0302,lt1,EMG,13,197,298.84982,-681.1502,-339.7345275878906,312.6392822265625,-780.9241943359375,341.3575134277344,176.20526123046875,False,False,False
v0302,lt1,EMG,14,158,240.73628,-544.26373,-211.76318359375,235.6835479736328,-577.90869140625,262.16339111328125,61.48991775512695,False,False,False
v0302,lt1,EMG,15,191,190.97755,-759.02246,-90.3661117553711,199.1696014404297,-512.677490234375,205.96241760253906,210.05967712402344,False,False,False
v0302,lt1,EMG,16,187,365.51236,-564.4876,-114.97349548339844,221.31719970703125,-573.5548706054688,360.52764892578125,56.703922271728516,False,False,False
v0302,lt1,EMG,17,289,620.67535,-819.32465,-260.3268127441406,175.88604736328125,-534.4276123046875,210.3253631591797,265.4845275878906,False,False,False
v0302,lt1,EMG_NIRS,0,212,98.41573,-956.5843,-204.53414916992188,240.58888244628906,-679.3551635742188,213.93572998046875,224.55014038085938,False,False,False
v0302,lt1,EMG_NIRS,1,126,190.29907,-434.70093,-29.927303314208984,106.36066436767578,-253.1842803955078,245.17724609375,116.0933837890625,False,False,False
v0302,lt1,EMG_NIRS,2,289,715.6045,-724.3955,-450.33203125,280.2495422363281,-774.8382568359375,209.67529296875,455.0666198730469,False,False,False
v0302,lt1,EMG_NIRS,3,142,234.35553,-470.64447,-97.27598571777344,200.41238403320312,-559.2230224609375,427.88433837890625,67.3936767578125,False,False,False
v0302,lt1,EMG_NIRS,4,234,104.008606,-1060.9913,-164.85015869140625,309.3871154785156,-851.4749755859375,289.9132080078125,313.6412353515625,False,False,False
v0302,lt1,EMG_NIRS,5,111,232.11374,-317.88626,33.56675720214844,114.47051239013672,-168.72621154785156,253.7357635498047,113.87335205078125,False,False,False
v0302,lt1,EMG_NIRS,6,197,155.19516,-824.8048,-126.7245864868164,293.2296447753906,-925.036865234375,367.8119201660156,212.47122192382812,False,False,False
v0302,lt1,EMG_NIRS,7,120,166.98906,-428.01093,-69.97836303710938,187.29620361328125,-479.7381591796875,237.46591186523438,79.1592788696289,False,False,False
