ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0302,lt1,EMG_NIRS,8,326,275.24228,-1349.7577,-38.36609649658203,173.2714080810547,-338.51177978515625,383.84600830078125,498.9276123046875,False,False,False
v0302,lt1,EMG_NIRS,9,290,723.96344,-721.03656,-199.1194305419922,291.26275634765625,-791.7430419921875,255.2988739013672,211.24131774902344,False,False,False
v0302,lt1,EMG_NIRS,10,153,228.6978,-531.3022,-52.52611541748047,183.91375732421875,-277.1341857910156,370.4200439453125,99.09075164794922,False,False,False
v0302,lt1,EMG_NIRS,11,133,115.2754,-544.7246,-242.56202697753906,273.0650939941406,-681.0479736328125,218.7981414794922,85.30244445800781,False,False,False
v0302,lt1,EMG_NIRS,12,235,274.29776,-895.7022,-328.4031677246094,361.4375305175781,-782.2485961914062,380.8389892578125,88.42769622802734,False,False,False
v0302,lt1,EMG_NIRS,13,197,298.84982,-681.1502,-228.804931640625,263.9271545410156,-639.3706665039062,346.1127014160156,84.9365463256836,False,False,False
v0302,lt1,EMG_NIRS,14,158,240.73628,-544.26373,-194.40838623046875,225.2599334716797,-507.2898864746094,278.63201904296875,59.10124206542969,False,False,False
v0302,lt1,EMG_NIRS,15,191,190.97755,-759.02246,-55.232688903808594,151.47677612304688,-426.9090270996094,265.109619140625,234.8923797607422,False,False,False
v0302,lt1,EMG_NIRS,16,187,365.51236,-564.4876,-119.56672668457031,180.3772735595703,-411.4772644042969,315.2673034667969,98.3368148803711,False,False,False
v0302,lt1,EMG_NIRS,17,289,620.67535,-819.32465,-269.45489501953125,178.2547607421875,-671.8007202148438,200.1050262451172,269.4388122558594,False,False,False
v0302,lt1,EMG_NIRS_HRV,0,212,98.41573,-956.5843,-204.4615936279297,235.4449005126953,-608.7276611328125,215.81710815429688,224.62266540527344,False,False,False
v0302,lt1,EMG_NIRS_HRV,1,126,190.29907,-434.70093,-78.44941711425781,151.4483184814453,-442.1856384277344,227.94476318359375,74.5813980102539,False,False,False
v0302,lt1,EMG_NIRS_HRV,2,289,715.6045,-724.3955,-434.1825256347656,270.27764892578125,-687.2763061523438,216.71697998046875,435.4801330566406,False,False,False
