variant,feature_set,target,subject_id,mae_min,r2
with_abs,EMG+NIRS,lt2,S002,3.6094,-0.257
with_abs,EMG+NIRS,lt2,S003,6.4805,-0.161
with_abs,EMG+NIRS,lt2,S004,5.3628,-1.184
with_abs,EMG+NIRS,lt2,S005,6.1483,-0.614
with_abs,EMG+NIRS,lt2,S006,4.4248,-1.148
with_abs,EMG+NIRS,lt2,S008,2.8203,0.208
with_abs,EMG+NIRS,lt2,S009,6.2147,0.295
with_abs,EMG+NIRS,lt2,S010,4.0799,0.631
with_abs,EMG+NIRS,lt2,S011,4.4867,-0.289
with_abs,EMG+NIRS,lt2,S012,2.2785,0.571
with_abs,EMG+NIRS,lt2,S013,4.8135,0.209
with_abs,EMG+NIRS,lt2,S014,4.639,-0.155
with_abs,EMG+NIRS,lt2,S016,3.4764,0.096
with_abs,EMG+NIRS,lt2,S017,5.2938,-0.326
with_abs,EMG+NIRS,lt2,S018,1.7172,-0.05
with_abs,EMG+NIRS,lt2,S019,5.1216,0.441
with_abs,EMG+NIRS+HRV,lt2,S001,5.6757,-0.574
with_abs,EMG+NIRS+HRV,lt2,S002,3.3889,-0.078
with_abs,EMG+NIRS+HRV,lt2,S003,6.2241,-0.077
with_abs,EMG+NIRS+HRV,lt2,S004,3.8832,-0.153
with_abs,EMG+NIRS+HRV,lt2,S005,6.4633,-0.778
with_abs,EMG+NIRS+HRV,lt2,S006,4.3946,-1.058
with_abs,EMG+NIRS+HRV,lt2,S008,1.897,0.668
with_abs,EMG+NIRS+HRV,lt2,S009,4.0465,0.668
with_abs,EMG+NIRS+HRV,lt2,S010,4.3976,0.562
with_abs,EMG+NIRS+HRV,lt2,S011,3.9492,0.03
with_abs,EMG+NIRS+HRV,lt2,S012,2.0279,0.682
with_abs,EMG+NIRS+HRV,lt2,S013,4.3355,0.333
with_abs,EMG+NIRS+HRV,lt2,S014,3.6664,0.229
with_abs,EMG+NIRS+HRV,lt2,S016,3.198,0.18
with_abs,EMG+NIRS+HRV,lt2,S017,4.9525,-0.15
with_abs,EMG+NIRS+HRV,lt2,S018,3.1035,-2.483
with_abs,EMG+NIRS+HRV,lt2,S019,4.6652,0.566
noabs,EMG,lt1,S001,5.0777,-0.33
noabs,EMG,lt1,S002,3.3894,-0.213
noabs,EMG,lt1,S003,6.8361,-0.071
noabs,EMG,lt1,S004,5.6803,-1.247
noabs,EMG,lt1,S005,6.7112,-0.688
noabs,EMG,lt1,S006,3.1451,-0.13
noabs,EMG,lt1,S007,3.8176,0.252
noabs,EMG,lt1,S008,2.9771,0.067
noabs,EMG,lt1,S009,7.0285,-0.041
noabs,EMG,lt1,S010,5.875,0.22
noabs,EMG,lt1,S011,2.9921,0.416
noabs,EMG,lt1,S012,3.0222,0.166
noabs,EMG,lt1,S013,6.0395,-0.355
noabs,EMG,lt1,S014,3.6923,0.379
noabs,EMG,lt1,S016,3.8631,-0.029
noabs,EMG,lt1,S017,5.7414,-0.581
noabs,EMG,lt1,S018,4.0656,0.145
noabs,EMG,lt1,S019,6.5541,0.002
noabs,NIRS,lt1,S001,5.8403,-0.576
noabs,NIRS,lt1,S002,3.213,-0.001
noabs,NIRS,lt1,S003,7.0585,-0.103
noabs,NIRS,lt1,S004,3.0799,0.22
noabs,NIRS,lt1,S005,6.5813,-0.646
noabs,NIRS,lt1,S006,2.1107,0.453
noabs,NIRS,lt1,S007,5.1147,-0.349
noabs,NIRS,lt1,S008,2.6682,0.125
noabs,NIRS,lt1,S009,8.3515,-0.512
noabs,NIRS,lt1,S010,6.4755,0.095
noabs,NIRS,lt1,S011,3.3421,0.148
noabs,NIRS,lt1,S012,3.6273,-0.162
noabs,NIRS,lt1,S013,4.9848,0.002
noabs,NIRS,lt1,S014,4.3725,0.081
noabs,NIRS,lt1,S016,3.911,0.003
noabs,NIRS,lt1,S017,4.3829,-0.029
noabs,NIRS,lt1,S018,3.9954,0.204
noabs,NIRS,lt1,S019,6.9309,-0.099
noabs,EMG+NIRS,lt1,S001,5.0429,-0.451
noabs,EMG+NIRS,lt1,S002,3.606,-0.297
noabs,EMG+NIRS,lt1,S003,6.8208,0.007
noabs,EMG+NIRS,lt1,S004,4.7899,-0.942
noabs,EMG+NIRS,lt1,S005,6.396,-0.42
noabs,EMG+NIRS,lt1,S006,3.089,-0.06
noabs,EMG+NIRS,lt1,S007,4.7609,-0.081
noabs,EMG+NIRS,lt1,S008,3.069,-0.005
noabs,EMG+NIRS,lt1,S009,6.8105,-0.02
noabs,EMG+NIRS,lt1,S010,5.6475,0.243
noabs,EMG+NIRS,lt1,S011,2.7113,0.507
noabs,EMG+NIRS,lt1,S012,2.2915,0.487
noabs,EMG+NIRS,lt1,S013,5.4516,-0.018
noabs,EMG+NIRS,lt1,S014,3.7892,0.349
noabs,EMG+NIRS,lt1,S016,3.4654,0.132
noabs,EMG+NIRS,lt1,S017,5.7073,-0.611
noabs,EMG+NIRS,lt1,S018,4.2579,0.062
noabs,EMG+NIRS,lt1,S019,6.4806,0.013
noabs,EMG+NIRS+HRV,lt1,S001,4.6934,-0.238
noabs,EMG+NIRS+HRV,lt1,S002,3.683,-0.371
noabs,EMG+NIRS+HRV,lt1,S003,6.3306,0.109
noabs,EMG+NIRS+HRV,lt1,S004,4.698,-0.816
noabs,EMG+NIRS+HRV,lt1,S005,6.6662,-0.571
noabs,EMG+NIRS+HRV,lt1,S006,2.3088,0.414
noabs,EMG+NIRS+HRV,lt1,S007,3.9423,0.219
noabs,EMG+NIRS+HRV,lt1,S008,2.7611,0.087
noabs,EMG+NIRS+HRV,lt1,S009,6.499,0.072
noabs,EMG+NIRS+HRV,lt1,S010,5.9463,0.207
noabs,EMG+NIRS+HRV,lt1,S011,2.032,0.725
noabs,EMG+NIRS+HRV,lt1,S012,1.8301,0.678
noabs,EMG+NIRS+HRV,lt1,S013,5.1264,0.089
noabs,EMG+NIRS+HRV,lt1,S014,3.345,0.47
noabs,EMG+NIRS+HRV,lt1,S016,3.7452,-0.03
noabs,EMG+NIRS+HRV,lt1,S017,4.821,-0.139
noabs,EMG+NIRS+HRV,lt1,S018,3.0926,0.514
noabs,EMG+NIRS+HRV,lt1,S019,6.1899,0.15
noabs,EMG,lt2,S001,5.4083,-0.542
noabs,EMG,lt2,S002,4.6905,-1.006
noabs,EMG,lt2,S003,6.6543,-0.227
noabs,EMG,lt2,S004,5.5978,-1.429
noabs,EMG,lt2,S005,5.8571,-0.499
noabs,EMG,lt2,S006,3.8027,-0.899
noabs,EMG,lt2,S008,2.9853,0.073
noabs,EMG,lt2,S009,7.3511,-0.039
noabs,EMG,lt2,S010,5.2616,0.329
noabs,EMG,lt2,S011,4.7557,-0.567
noabs,EMG,lt2,S012,2.4606,0.496
noabs,EMG,lt2,S013,5.5176,-0.015
noabs,EMG,lt2,S014,4.1995,0.022
noabs,EMG,lt2,S016,3.4846,0.24
