variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
noabs,EMG+NIRS,lt2,S011,1.9185,1.9802,2.0791,0.1,tcn
noabs,EMG+NIRS,lt2,S012,4.1452,3.026,6.0402,0.4,tcn
noabs,EMG+NIRS,lt2,S013,2.8715,3.7551,3.1051,0.1,linear
noabs,EMG+NIRS,lt2,S014,1.6672,3.0012,1.7774,0.2,linear
noabs,EMG+NIRS,lt2,S015,4.9014,4.2099,5.2998,0.3,tcn
noabs,EMG+NIRS,lt2,S016,2.406,4.3373,2.1722,0.35,linear
noabs,EMG+NIRS,lt2,S017,1.2106,3.7279,1.5968,0.3,linear
noabs,EMG+NIRS,lt2,S018,4.4069,6.4418,3.6649,0.3,linear
noabs,EMG+NIRS,lt2,S019,5.0969,5.1572,5.1814,0.25,tcn
with_abs,EMG+NIRS+HRV,lt2,S001,1.0366,4.0158,0.9616,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S002,3.9953,3.4005,4.0975,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S003,5.7128,4.0394,5.7128,0.0,tcn
with_abs,EMG+NIRS+HRV,lt2,S004,1.9596,3.96,2.0142,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S005,1.8368,4.9475,1.784,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S006,1.7477,1.5548,1.8709,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S008,1.7385,2.1797,1.7215,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S009,2.8525,4.4697,2.8525,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S010,2.1218,3.9799,2.0996,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S011,1.9281,2.0204,1.9855,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S012,4.2292,2.3433,4.4364,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S013,2.8669,3.3246,2.8669,0.0,linear
with_abs,EMG+NIRS+HRV,lt2,S014,0.852,2.8328,0.8262,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S015,3.4944,4.3381,3.4675,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S016,3.0457,4.0914,3.0226,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S017,2.0723,3.1811,2.1646,0.05,linear
with_abs,EMG+NIRS+HRV,lt2,S018,3.6653,2.034,3.952,0.05,tcn
with_abs,EMG+NIRS+HRV,lt2,S019,2.4105,4.4871,2.2336,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S001,2.1542,3.9591,1.8938,0.2,linear
noabs,EMG+NIRS+HRV,lt2,S002,2.6549,3.4203,2.7119,0.2,linear
noabs,EMG+NIRS+HRV,lt2,S003,2.7431,3.48,2.8634,0.2,linear
noabs,EMG+NIRS+HRV,lt2,S004,2.448,4.6828,2.1782,0.15,linear
noabs,EMG+NIRS+HRV,lt2,S005,3.5361,5.291,3.3902,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S006,2.0877,1.8345,2.5865,0.15,tcn
noabs,EMG+NIRS+HRV,lt2,S008,2.4129,2.1129,2.4914,0.15,tcn
noabs,EMG+NIRS+HRV,lt2,S009,3.9379,4.5404,3.9295,0.15,linear
noabs,EMG+NIRS+HRV,lt2,S010,2.9108,3.7841,2.9295,0.15,linear
noabs,EMG+NIRS+HRV,lt2,S011,1.2582,2.0128,1.3847,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S012,2.9487,2.7952,3.0872,0.2,tcn
noabs,EMG+NIRS+HRV,lt2,S013,1.8537,3.637,1.9171,0.1,linear
noabs,EMG+NIRS+HRV,lt2,S014,1.0334,2.7813,1.0667,0.15,linear
noabs,EMG+NIRS+HRV,lt2,S015,4.6528,4.1711,4.8339,0.2,tcn
noabs,EMG+NIRS+HRV,lt2,S016,2.4056,4.1787,2.4567,0.2,linear
noabs,EMG+NIRS+HRV,lt2,S017,1.0572,3.2551,1.3645,0.2,linear
noabs,EMG+NIRS+HRV,lt2,S018,2.3235,4.2416,3.3353,0.15,linear
noabs,EMG+NIRS+HRV,lt2,S019,3.9358,4.4223,3.9089,0.15,linear
with_abs,EMG,lt1,S002,3.7279,2.9106,3.8963,0.05,tcn
with_abs,EMG,lt1,S003,3.2717,4.9418,3.1247,0.1,linear
with_abs,EMG,lt1,S004,3.4758,4.5356,3.4849,0.15,linear
with_abs,EMG,lt1,S006,2.8537,1.3707,2.8537,0.0,tcn
with_abs,EMG,lt1,S008,2.7334,3.9951,2.6792,0.1,linear
with_abs,EMG,lt1,S009,5.8353,6.0174,5.8328,0.05,linear
with_abs,EMG,lt1,S010,3.028,5.5304,2.9237,0.05,linear
with_abs,EMG,lt1,S011,2.2984,2.4214,2.3831,0.05,linear
with_abs,EMG,lt1,S013,2.4139,3.9809,2.37,0.1,linear
with_abs,EMG,lt1,S014,2.4592,3.1711,2.5548,0.05,linear
with_abs,EMG,lt1,S016,2.0524,1.9234,2.2248,0.05,tcn
with_abs,EMG,lt1,S017,1.7966,3.7354,1.9128,0.05,linear
with_abs,EMG,lt1,S018,3.206,2.8712,3.4242,0.1,tcn
with_abs,EMG,lt1,S019,3.1067,4.7495,2.8494,0.15,linear
noabs,EMG,lt1,S002,3.5963,3.0789,3.8963,0.1,tcn
noabs,EMG,lt1,S003,3.2761,4.8747,3.1247,0.1,linear
noabs,EMG,lt1,S004,3.5627,5.0681,3.4849,0.15,linear
noabs,EMG,lt1,S006,2.8537,1.6299,2.8537,0.0,tcn
noabs,EMG,lt1,S008,2.7205,3.8313,2.6792,0.1,linear
noabs,EMG,lt1,S009,5.8373,6.0741,5.8328,0.05,linear
noabs,EMG,lt1,S010,3.0257,5.5652,2.9237,0.05,linear
noabs,EMG,lt1,S011,2.2946,2.4474,2.3831,0.05,linear
noabs,EMG,lt1,S013,2.3885,4.2834,2.37,0.1,linear
noabs,EMG,lt1,S014,2.4533,2.8339,2.5548,0.05,linear
noabs,EMG,lt1,S016,2.0574,1.8163,2.2248,0.05,tcn
