feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS,lt2,Huber(ε=2.0),18,93,4.3741,3.9861,0.196,0.74,35.2
EMG+NIRS,lt2,"EN(α=0.01,l1=0.2)",18,93,4.7035,4.2131,-0.282,0.729,27.1
EMG+NIRS,lt2,"EN(α=0.01,l1=0.5)",18,93,4.7485,4.2469,-0.293,0.723,32.4
EMG+NIRS,lt2,"EN(α=0.01,l1=0.9)",18,93,4.6332,4.1453,-0.015,0.718,43.8
EMG+NIRS,lt2,"EN(α=0.1,l1=0.2)",18,93,4.4645,4.1202,0.12,0.731,8.9
EMG+NIRS,lt2,"EN(α=0.1,l1=0.5)",18,93,4.4716,4.0869,0.051,0.736,8.7
EMG+NIRS,lt2,"EN(α=0.1,l1=0.9)",18,93,4.6486,4.1729,-0.228,0.733,16.6
EMG+NIRS,lt2,"EN(α=1.0,l1=0.2)",18,93,4.3821,4.2041,0.3,0.689,2.7
EMG+NIRS,lt2,"EN(α=1.0,l1=0.5)",18,93,4.4125,4.2095,0.275,0.696,2.4
EMG+NIRS,lt2,"EN(α=1.0,l1=0.9)",18,93,4.4429,4.1389,0.193,0.727,3.7
EMG+NIRS,lt2,"GBM(n=50,d=2)",18,93,3.7468,3.5858,0.475,0.707,93.4
EMG+NIRS,lt2,"GBM(n=50,d=3)",18,93,3.7228,3.5564,0.483,0.712,120.5
EMG+NIRS,lt2,"GBM(n=100,d=2)",18,93,3.7577,3.5819,0.485,0.723,157.6
EMG+NIRS,lt2,"GBM(n=100,d=3)",18,93,3.6971,3.514,0.497,0.723,223.6
EMG+NIRS,lt2,"GBM(n=200,d=2)",18,93,3.7795,3.5776,0.491,0.73,291.8
EMG+NIRS,lt2,"GBM(n=200,d=3)",18,93,3.6147,3.4161,0.524,0.739,414.6
EMG+NIRS,lt2,"SVR(C=1,ε=0.1)",18,93,4.5603,4.5311,0.221,0.556,33.8
EMG+NIRS,lt2,"SVR(C=1,ε=1.0)",18,93,4.5607,4.5315,0.221,0.556,32.0
EMG+NIRS,lt2,"SVR(C=10,ε=0.1)",18,93,4.1064,4.0096,0.371,0.624,30.8
EMG+NIRS,lt2,"SVR(C=10,ε=1.0)",18,93,4.1057,4.0089,0.371,0.624,32.3
EMG+NIRS,lt2,"SVR(C=100,ε=0.1)",18,93,3.5644,3.4034,0.545,0.727,31.9
EMG+NIRS,lt2,"SVR(C=100,ε=1.0)",18,93,3.5674,3.4065,0.545,0.726,26.7
