model_id,architecture_id,family,target,selected_epoch,n_folds,n_epochs_mean,final_train_mae_mean,final_train_mae_std,final_train_loss_mean,train_mae_slope_last_K_mean,train_loss_slope_last_K_mean,training_instability_mean,converged_rate,relative_change_last_K_mean,stability_window_epochs,convergence_relative_threshold
LSTM15_26c934f0,LSTM15,LSTM,lt1,20,18,20.0,0.07503201344626888,0.0023909099795207983,0.010865134418275533,-0.0009792021552829985,-0.0002695511338212923,0.767323844389364,0.05555555555555555,0.12352848985457615,10,0.05
LSTM15_62f8f787,LSTM15,LSTM,lt1,20,18,20.0,0.07013379085440329,0.002164004687089114,0.009590503643408107,-0.0006129114061588514,-0.00015149628137244034,0.7455646074861247,0.1111111111111111,0.08439290932256033,10,0.05
LSTM15_f025f0f7,LSTM15,LSTM,lt1,20,18,20.0,0.0712768162021573,0.002104825087960877,0.009943947766356528,-0.0008080100002675078,-0.0002065458737259074,0.8282805349861023,0.0,0.10907286287102258,10,0.05
LSTM15_fb74351e,LSTM15,LSTM,lt1,20,18,20.0,0.0672757173167567,0.002078046602617022,0.009121730035673205,-0.0006043582971787579,-0.00013421632137018634,0.6705420428091045,0.1111111111111111,0.08665370590060456,10,0.05
LSTM15_a2ecd335,LSTM15,LSTM,lt1,20,18,20.0,0.06866971752047368,0.001436549892097193,0.00936608136358208,-0.0006423762599255071,-0.00015809277784026987,0.7575022777912336,0.05555555555555555,0.09054275550643853,10,0.05
LSTM15_b281d86d,LSTM15,LSTM,lt2,20,17,20.0,0.07882179801949692,0.002403293610984308,0.01146201894751421,-0.001192374386650303,-0.0003581628789719045,0.6815637036344118,0.0,0.14204863422022626,10,0.05
LSTM15_9adc484b,LSTM15,LSTM,lt2,20,17,20.0,0.07882179801949692,0.002403293610984308,0.01146201894751421,-0.001192374386650303,-0.0003581628789719045,0.6815637036344118,0.0,0.14204863422022626,10,0.05
LSTM15_a6013968,LSTM15,LSTM,lt2,20,17,20.0,0.072682167758915,0.002330046460876484,0.009964002255204012,-0.0007780642405156277,-0.00018948385940599624,0.862245564037482,0.11764705882352941,0.10358765751722375,10,0.05
LSTM15_69708350,LSTM15,LSTM,lt2,20,17,20.0,0.07381848967710926,0.0031552859467342416,0.010186123896979276,-0.0007860625323845847,-0.0001956868774970115,0.7575473096506233,0.058823529411764705,0.10198792914402809,10,0.05
LSTM15_e295b00f,LSTM15,LSTM,lt2,20,17,20.0,0.06743775327675927,0.001478342184550149,0.008766841259146141,-0.0006370197435611153,-0.00014414229495565158,0.7321308883557036,0.11764705882352941,0.09050861748261084,10,0.05
LSTM15_87a39178,LSTM15,LSTM,lt2,20,17,20.0,0.0697073216292618,0.002384138835038819,0.009434822033910252,-0.0007818645121462235,-0.0001763131653537982,0.8510407963125856,0.0,0.1075234714324812,10,0.05
LSTM16_55cdb14e,LSTM16,LSTM,lt1,20,18,20.0,0.07138431095958757,0.0018718053587395583,0.009923101660362034,-0.0008516920588169396,-0.00020659193663904177,0.7095428983432555,0.0,0.11373499729750138,10,0.05
LSTM16_f4556b49,LSTM16,LSTM,lt1,20,18,20.0,0.07138431095958757,0.0018718053587395583,0.009923101660362034,-0.0008516920588169396,-0.00020659193663904177,0.7095428983432555,0.0,0.11373499729750138,10,0.05
LSTM16_53de63e5,LSTM16,LSTM,lt1,20,18,20.0,0.06871035308265395,0.0014527990537536114,0.009372644104238138,-0.0006518408725851553,-0.00014588862007426515,0.7793648098719332,0.1111111111111111,0.09144048593522515,10,0.05
LSTM16_51a80a08,LSTM16,LSTM,lt1,20,18,20.0,0.06984520794208643,0.0027424220563658556,0.00955360552013856,-0.0007048174408394642,-0.00017355028254256784,0.8172181525356661,0.0,0.09706213369492801,10,0.05
LSTM16_84461ea9,LSTM16,LSTM,lt1,20,18,20.0,0.06613375957197026,0.0010591320846496594,0.008757620946952734,-0.0005984450822334415,-0.00013655130703631212,0.7171519054393167,0.1111111111111111,0.08675165070964848,10,0.05
LSTM16_6978840d,LSTM16,LSTM,lt1,20,18,20.0,0.0680860281660777,0.0011220023433521917,0.009262660936710998,-0.0005509760368158218,-0.00012734072081782157,0.7586537774379267,0.1111111111111111,0.07857745353853056,10,0.05
LSTM16_6bf6ba97,LSTM16,LSTM,lt2,20,17,20.0,0.0713003864111659,0.002151718025070761,0.009492869686225787,-0.0009273439885845431,-0.0002237562549981482,0.7159144329992386,0.0,0.12187625323171654,10,0.05
LSTM16_9df43ac9,LSTM16,LSTM,lt2,20,17,20.0,0.0713003864111659,0.002151718025070761,0.009492869686225787,-0.0009273439885845431,-0.0002237562549981482,0.7159144329992386,0.0,0.12187625323171654,10,0.05
LSTM16_a489f6f3,LSTM16,LSTM,lt2,20,17,20.0,0.06993139105346682,0.0015451108889626673,0.009259678896801429,-0.0007607623795790988,-0.00017966532565486892,0.6911264821274976,0.058823529411764705,0.1045335503736761,10,0.05
LSTM16_e5e62142,LSTM16,LSTM,lt2,20,17,20.0,0.07016904243081912,0.0015569367483299996,0.009313742475233849,-0.0008155122147278923,-0.0001827941485904327,0.7559262303663447,0.0,0.11090483525697845,10,0.05
LSTM16_82514c07,LSTM16,LSTM,lt2,20,17,20.0,0.06753290468272528,0.0019425613881019882,0.00887602957554389,-0.0004917062184115603,-0.00010358356043301285,0.7068782537858092,0.11764705882352941,0.07066681414263183,10,0.05
LSTM16_abca9f1a,LSTM16,LSTM,lt2,20,17,20.0,0.06774419905246705,0.0021299094534926346,0.00885050376553817,-0.0007001721486526104,-0.0001621463743891232,0.7610141449334836,0.17647058823529413,0.09896381705026165,10,0.05
LSTM2_b8319c10,LSTM2,LSTM,lt1,80,18,80.0,0.06667836964259316,0.0022446728388177584,0.008813358673855468,-8.751326377693316e-05,-2.2517621379915656e-05,0.7575657651897489,0.7777777777777778,0.03273327323351327,10,0.05
LSTM2_55a2827b,LSTM2,LSTM,lt1,80,18,80.0,0.06667836964259316,0.0022446728388177584,0.008813358673855468,-8.751326377693316e-05,-2.2517621379915656e-05,0.7575657651897489,0.7777777777777778,0.03273327323351327,10,0.05
LSTM2_2bbde8fb,LSTM2,LSTM,lt1,80,18,80.0,0.06560968483632086,0.0028449101352538415,0.008593954607632534,-6.020900076816642e-05,-1.813781313840339e-05,0.7104014762748821,0.8333333333333334,0.03175063758949949,10,0.05
LSTM2_8c83506e,LSTM2,LSTM,lt1,80,18,80.0,0.06552076135042738,0.0021918920998899353,0.008540883731703204,-1.0190547570705306e-05,-3.280065220082541e-06,0.6821911437323278,0.9444444444444444,0.02236926602123717,10,0.05
LSTM2_0b4bf79f,LSTM2,LSTM,lt1,80,18,80.0,0.06331757760267809,0.0013780004104398333,0.008142098212404844,-0.00016322337546042907,-4.527650705576306e-05,0.6881544765492768,0.7222222222222222,0.031218248581183588,10,0.05
LSTM2_d54edb6f,LSTM2,LSTM,lt1,80,18,80.0,0.0652669579904252,0.0026460819041248295,0.008539187723700568,-3.933662264928318e-05,-8.057736858190576e-06,0.7878325591294506,0.8333333333333334,0.02848542162870838,10,0.05
LSTM2_7883a7bb,LSTM2,LSTM,lt2,80,17,80.0,0.06859151620978392,0.003999765233589207,0.00914738021699354,6.544919404739072e-05,3.070216340003118e-05,0.7159212317558715,0.8235294117647058,0.02298529248016588,10,0.05
