model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,modality,mean_abs_shap,mean_shap,abs_shap_share,n_windows,modality_rank_within_subject
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S014,Interaction,161.8598874077092,-61.1976316489977,0.07118615745704948,227,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S014,Kinematics,30.64525216099467,-2.5431324207532726,0.013477815786121998,227,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S014,NIRS,535.7688140790783,117.70849044055922,0.23563171685360634,227,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S016,EMG,1403.059158877947,-55.074307768743935,0.5642835229988024,188,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S016,HRV,126.14475106581344,-26.822780409767315,0.05073300301617307,188,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S016,Interaction,155.36851810482995,32.52840667080052,0.06248624243999057,188,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S016,Kinematics,51.855115455093255,-12.51934689149561,0.020855134332261677,188,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S016,NIRS,750.0160645279557,-12.204183545799737,0.301642097212772,188,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S017,EMG,1316.0838219572508,16.29597214246443,0.702164825791954,221,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S017,HRV,106.26417833290844,67.43656384780898,0.056694693014375075,221,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S017,Interaction,143.05419608897643,-21.048126268902138,0.07632312091356057,221,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S017,Kinematics,67.87752649827897,-19.53354460038272,0.036214419456940136,221,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S017,NIRS,241.04347534441632,86.88620413568238,0.12860294082316964,221,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S018,EMG,1584.4956042816352,-9.589839349134287,0.6971401159861419,217,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S018,HRV,105.85746844765754,42.082570640762086,0.046574750748555716,217,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S018,Interaction,140.77303675921098,9.1363975308605,0.06193676455071704,217,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S018,Kinematics,56.078780397058495,16.528347801409218,0.024673320244451662,217,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S018,NIRS,385.6461022572166,94.97593024315205,0.16967504847013323,217,2
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,EMG,1736.5649921266195,-9.775716888935122,0.6724980653842485,319,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,HRV,97.79032168390333,7.877604029343152,0.0378700494619514,319,4
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,Interaction,149.97195781313255,-2.1753057179494704,0.05807778686573108,319,3
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,Kinematics,48.87076805983595,-25.359345891627335,0.018925578439672738,319,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,NIRS,549.0621652352977,-18.291622382713612,0.21262851984839584,319,2
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S001,HRV,332.7042717266276,-86.01451645396898,0.9999999999999969,208,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S002,HRV,300.1653484240129,-127.72437051333985,0.9999999999999967,154,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S003,HRV,302.2141070368673,-114.8725933497379,0.9999999999999964,271,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S004,HRV,219.32013151725323,-34.11183920896624,0.9999999999999954,169,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S005,HRV,328.1853861345139,-243.14124958306604,0.9999999999999969,240,1
