model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,lt_mae_median_policy_mean,catastrophic_rate_mean,conformal_coverage_at_alpha_020,conformal_width_at_alpha_020,conformal_undercoverage_penalty_020,training_instability_mean,converged_rate,point_score,uncertainty_score,stability_score,robustness_total,robustness_rank
Lin3_0551b042,Lin3,Lin,lt1,HRV,True,none,180.5160283290535,0.6653180033954518,0.8888888888888888,538.3064033273529,0.0,,,0.34364765161212585,-1.204293735813683,0.0,-0.8606460842015571,299
LSTM12_cd87b298,LSTM12,LSTM,lt2,EMG+NIRS,True,cwt,157.3843590418497,0.6368202005053537,0.8888888888888888,724.9007839626736,0.0,0.7189453016319143,0.1111111111111111,-0.4527846860476106,-0.3384443031310573,-0.06408709137465346,-0.8553160805533213,300
Lin25_67db53f5,Lin25,Lin,lt2,EMG+NIRS,True,none,166.4591739148151,0.6668668976862466,0.8888888888888888,611.9828045269774,0.0,,,0.011731772009686281,-0.8624148969998362,0.0,-0.8506831249901499,301
Lin24_f1fc0fe3,Lin24,Lin,lt2,EMG+NIRS,True,none,166.48780709576315,0.6664385163454848,0.8888888888888888,612.6276872665247,0.0,,,0.008980510423006016,-0.8594224630782854,0.0,-0.8504419526552793,302
Lin6_0ce61268,Lin6,Lin,lt1,HRV,True,none,180.32518504605068,0.6500573594745496,0.8888888888888888,568.0360902912902,0.0,,,0.21596983914783693,-1.0663397818740619,0.0,-0.8503699427262249,303
Lin15_d8a599c3,Lin15,Lin,lt1,NIRS,True,none,162.74948041197524,0.7059315164165859,0.8888888888888888,565.8012487774746,0.0,,,0.23570645547046198,-1.076710063392103,0.0,-0.841003607921641,304
Lin17_9887495b,Lin17,Lin,lt2,NIRS,False,none,154.51001299676986,0.6793093889382023,0.8888888888888888,658.2707837884914,0.0,,,-0.18074124858616503,-0.6476258961352488,0.0,-0.8283671447214138,305
Lin29_a4f9d3e9,Lin29,Lin,lt1,EMG,False,none,173.9809134154024,0.55180977428145,0.8888888888888888,778.8557591374966,0.0,,,-0.7313517278763375,-0.08807832487135292,0.0,-0.8194300527476904,306
Lin29_af5dc984,Lin29,Lin,lt1,EMG,True,none,173.9809134154024,0.55180977428145,0.8888888888888888,778.8557591374966,0.0,,,-0.7313517278763375,-0.08807832487135292,0.0,-0.8194300527476904,306
Lin15_6bc5b19c,Lin15,Lin,lt1,NIRS,False,none,148.26614404594577,0.697648669406343,0.8888888888888888,661.5945147431559,0.0,,,-0.18590309899712054,-0.6322028670403352,0.0,-0.8181059660374558,308
Lin23_29b3876a,Lin23,Lin,lt1,HRV,False,none,170.71633182920766,0.653120712432309,0.8888888888888888,620.4830740129748,0.0,,,0.0052389177762109385,-0.8229713002149759,0.0,-0.817732382438765,309
Lin14_d234d8c0,Lin14,Lin,lt1,HRV,True,none,181.98779869242108,0.66485154653413,0.8888888888888888,541.1344904287876,0.0,,,0.37594709450803643,-1.1911706310126868,0.0,-0.8152235365046504,310
Lin7_8fac1b1d,Lin7,Lin,lt1,HRV,True,none,180.93632889939536,0.6548287600727885,0.8888888888888888,564.842231554958,0.0,,,0.26940105923835234,-1.0811601680266674,0.0,-0.811759108788315,311
LSTM1_4273303e,LSTM1,LSTM,lt1,EMG+NIRS,False,none,182.3187660475572,0.6201883692281744,0.8888888888888888,1009.7525533040365,0.0,0.7305406970262476,0.8888888888888888,0.024067052644873372,0.9833465356021358,-1.8137785691685118,-0.8063649809215025,312
Lin9_8b604f6c,Lin9,Lin,lt1,HRV,True,none,182.3162754570773,0.6648147199348033,0.8888888888888888,541.8821038954206,0.0,,,0.38369811717795044,-1.187701498160207,0.0,-0.8040033809822565,313
Lin28_a84307af,Lin28,Lin,lt2,EMG+NIRS,True,none,173.0399111988111,0.5974225439391014,0.8888888888888888,709.6393500858023,0.0,,,-0.3867640579124205,-0.4092615690059497,0.0,-0.7960256269183702,314
