comparison_kind,group_key,metric,condition_a,condition_b,n_subjects,mean_a,mean_b,delta_mean,median_a,median_b,delta_median,wilcoxon_stat,wilcoxon_pvalue,ttest_stat,ttest_pvalue,cohens_d,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high,pvalue_adj,correction_method,reject_at_alpha
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=True,abs_lt_err_median_sec,15,5,18,188.0155710086778,185.35570328544685,2.6598677232309456,151.27576112747192,120.09168829520544,31.18407283226648,85.0,1.0,0.25526743827030507,0.8015792643493035,0.06016711220568372,-0.05555555555555555,-17.04586021113728,24.206586034968478,1.0,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS|with_abs=True,abs_lt_err_median_sec,30,5,18,192.10518887252715,185.35570328544685,6.749485587080301,152.69279066224894,120.09168829520544,32.601102367043495,82.0,0.8985748291015625,0.6293610367097825,0.5374794807398491,0.14834181895736098,0.006172839506172839,-11.793451294813478,28.945580761769115,0.9514321719898897,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,15,30,18,155.63906291679095,166.47807429951644,-10.839011382725488,127.78834120432509,142.67735687394924,-14.889015669624143,38.0,0.03849029541015625,-2.2418088914475844,0.03860434811062125,-0.5283994230889612,-0.09259259259259259,-19.300264466595312,-1.6227364355490927,0.2309417724609375,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,15,5,18,155.63906291679095,156.2303304109308,-0.5912674941398564,127.78834120432509,94.75830981135371,33.03003139297138,85.0,1.0,-0.06389049103594355,0.9498026790056411,-0.015059133154951337,0.06790123456790123,-17.66532123610376,15.656537323831442,1.0,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=False,abs_lt_err_median_sec,30,5,18,166.47807429951644,156.2303304109308,10.247743888585632,142.67735687394924,94.75830981135371,47.919047062595524,53.0,0.16735076904296875,0.9478397693234889,0.3564910956049723,0.22340797612231067,0.12962962962962962,-10.149220002801282,29.123032488770527,0.3629302978515625,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,15,30,18,176.01118651253202,172.78393607503835,3.227250437493666,123.51783537864685,145.1328449994326,-21.61500962078574,66.0,0.4171142578125,0.5641428207516174,0.580024330576285,0.13296973803705855,0.012345679012345678,-8.34802817888554,13.294840687596162,0.6006445312500001,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,15,5,18,176.01118651253202,172.99411196841126,3.01707454412076,123.51783537864685,100.72191047668444,22.795924901962408,80.0,0.83172607421875,0.4206490837872945,0.6792808697234612,0.09914793988196803,0.012345679012345678,-8.970519576276844,18.63129700052531,0.9514321719898897,fdr_bh,False
stride_within_arch,family=LSTM|target=lt1|feature_set=EMG+NIRS+HRV|with_abs=True,abs_lt_err_median_sec,30,5,18,172.78393607503835,172.99411196841126,-0.21017589337290588,145.1328449994326,100.72191047668444,44.41093452274815,69.0,0.49507904052734375,-0.02434165778050083,0.9808635317058351,-0.005737383760638141,-0.04938271604938271,-15.325548217169663,18.172750823241113,0.6854940561147836,fdr_bh,False
stride_within_arch,family=LSTM|target=lt2|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,15,30,18,182.71492353302457,179.66033569309445,3.0545878399301216,150.5282059808572,167.4196279843648,-16.891422003507614,71.0,0.550872802734375,0.2401162051804169,0.8131116839724886,0.05659593231861773,0.030864197530864196,-19.159909886590853,30.201301807192763,0.7082650320870536,fdr_bh,False
stride_within_arch,family=LSTM|target=lt2|feature_set=EMG|with_abs=False,abs_lt_err_median_sec,15,5,18,182.71492353302457,145.11866941054657,37.596254122478,150.5282059808572,124.40584754943853,26.12235843141866,25.0,0.0065765380859375,2.801921990778481,0.0122557232978623,0.6604193466783917,0.2037037037037037,15.147675991417099,67.62741058595742,0.2186279296875,fdr_bh,False
