model_id,architecture_id,target,policy,alpha,nominal_coverage,empirical_coverage,coverage_gap,coverage_ci_low,coverage_ci_high,mean_interval_width_sec,median_interval_width_sec,interval_width_over_2mae,calibration_n,qhat_method
Lin14_722c1fc4,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,665.6784599956092,668.4576591794587,2.0290931862594355,17,jackknife_plus
Lin14_722c1fc4,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,463.8619507121804,490.47230510493955,1.413924559856276,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1710.1135700946352,1731.208928952476,3.6957992390553596,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1001.3969348008125,1031.0247345460648,2.16416154713304,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,602.8401475317619,607.3698692589646,1.3028235068601985,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,506.2796931349975,513.6976595249714,1.0941425981047332,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,986.688207155767,1018.2526841820946,2.1323738896413666,17,jackknife_plus
Lin14_729d7248,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,591.5383784301987,594.233270579225,1.278398772517423,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1774.5656932512316,1809.5249235030465,2.751331239600097,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1193.786426384268,1241.5218548973498,1.850876471247435,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1123.282418505971,1132.6191499243018,1.7415652859076725,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,856.4923915564348,870.4937952371881,1.3279273246016707,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1000.0956389327579,1011.3779858150681,1.5505734075937434,17,jackknife_plus
Lin14_7ebc000a,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,822.551843911127,870.4937952371881,1.2753050467221838,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,833.229523633046,866.008101004496,2.49141636125491,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,495.78677839299405,500.634303901439,1.482438219419304,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,573.663135214104,595.8194952165968,1.7152941421104044,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,336.4458222059028,343.3640389127049,1.0059972700736917,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,580.746512018904,595.8194952165968,1.736473949551054,17,jackknife_plus
Lin14_7eeda42c,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,410.01560309450684,416.72838369982696,1.225976220172115,17,jackknife_plus
Lin14_830d092e,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1661.2246812057465,1681.208928952476,2.9044948439174516,17,jackknife_plus
Lin14_830d092e,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1055.0913157403334,1102.9175100397347,1.8447277608502686,17,jackknife_plus
Lin14_830d092e,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1252.9784354046133,1304.8494642351418,2.1907147457808103,17,jackknife_plus
