model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_dist_full_window_ratio_low_high,EMG,30.756611435789114,28.219004535102,2.4968255916118047,-154.83154540425284,-126.84176254197375,319,0.01363297461578304,23
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_rms,EMG,106.40467556991462,73.72139962935469,21.025335134677153,-154.83154540425284,-126.84176254197375,319,0.047164241225784366,6
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_mav,EMG,2.8835304130572545,2.087704701334487,21.30500814589694,-154.83154540425284,-126.84176254197375,319,0.0012781348493841108,50
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_wl,EMG,181.11562256587658,-126.17929827936305,21.571441021576952,-154.83154540425284,-126.84176254197375,319,0.08028012741641567,1
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_zcr,EMG,30.13667755706086,21.825815664165063,-5.817015843941727,-154.83154540425284,-126.84176254197375,319,0.013358186775457697,25
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_mdf,EMG,28.85709889111291,25.160724091384015,-1.1449878223027627,-154.83154540425284,-126.84176254197375,319,0.012791009096987334,27
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_mnf,EMG,46.62335583134039,-38.94177572746191,-1.758902845631161,-154.83154540425284,-126.84176254197375,319,0.020665964060386288,18
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_p_low,EMG,13.34296596738604,-8.030299369192537,-1.1537045446771372,-154.83154540425284,-126.84176254197375,319,0.005914315909358036,38
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_p_mid,EMG,106.22380254355089,92.29966929616845,5.526200723684083,-154.83154540425284,-126.84176254197375,319,0.04708406862997534,7
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_p_high,EMG,66.97801072878175,56.26377681159524,-2.0699900432913894,-154.83154540425284,-126.84176254197375,319,0.0296882353892409,12
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_ratio_mid_high,EMG,53.38334654281329,-41.68362843261382,5.690900308434647,-154.83154540425284,-126.84176254197375,319,0.023662353372155564,16
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_e_d2,EMG,112.06263744604531,87.8804192337606,35.81846514432023,-154.83154540425284,-126.84176254197375,319,0.04967215243685497,5
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_e_d3,EMG,23.656379713599897,-17.71506462177535,38.42746042651246,-154.83154540425284,-126.84176254197375,319,0.010485772296799763,31
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_e_d4,EMG,30.648996971831224,-24.312056525345767,46.563483875859674,-154.83154540425284,-126.84176254197375,319,0.013585274131661378,24
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_e_d5,EMG,93.41352594085213,-59.0269053649756,26.45107124661086,-154.83154540425284,-126.84176254197375,319,0.041405869127720235,9
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_wavelet_entropy,EMG,89.28502106077967,-62.69490218562085,-3.5832810260461754,-154.83154540425284,-126.84176254197375,319,0.03957589503097461,10
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_vl_prox_full_window_ratio_low_high,EMG,34.523444754539426,24.555492266369676,1.9403411612379158,-154.83154540425284,-126.84176254197375,319,0.015302636539484202,22
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_cadence_mean_rpm,Kinematics,13.737543354170406,-5.2103594179709,1.4684559842755476,-154.83154540425284,-126.84176254197375,319,0.006089213703584283,37
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_cadence_cv,Kinematics,1.2099203239748852,-1.1250070824569138,0.6860660228306892,-154.83154540425284,-126.84176254197375,319,0.0005363013769675502,58
