model_id,architecture_id,family,target,feature_set,with_abs,phase_split,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,mean_windows_per_subject,n_subjects,abs_shap_share,feature_rank_global
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_dhhb_dt,NIRS,1.2044481906909144,-0.11170648977527205,0.005713023709050787,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0004744013699258387,61
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_dsmo2_dt,NIRS,0.6025951732202296,-0.049410928691851645,-0.012105310242511484,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0002373468430571419,64
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_hbdiff_slope,NIRS,2.785684771168876,0.25531210318793224,-0.007925514642334318,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0010972100600408418,56
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_hbdiff_std,NIRS,34.15291431579156,-6.287349475879308,0.5641982353265583,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.013451960377869929,25
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_hhb_slope,NIRS,1.2044481906935876,-0.1117064897763802,0.005713023709050787,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0004744013699268916,60
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_hhb_std,NIRS,69.7031391063386,-7.15336566836501,0.5666005023984879,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.027454285651929762,12
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_smo2_drop,NIRS,125.13139845328432,19.973255580521155,8.64680325850851,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.049286060874832324,4
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_smo2_slope,NIRS,0.6025951732203882,-0.049410928691853775,-0.012105310242511484,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0002373468430572044,63
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_smo2_std,NIRS,3.445657638697167,0.4146338670082519,1.08433392381768,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0013571565109460522,52
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_thb_slope,NIRS,3.140854460002996,0.03304242854222048,0.0035127119345076813,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0012371023262597704,53
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,trainred_thb_std,NIRS,27.52246344585788,-3.6575742638013318,1.2701112477474763,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.01084039518126472,30
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_cadence_cv,Kinematics,7.814670639277499,0.8316611765330718,1.8270632116678018,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0030779991081773647,47
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_cadence_mean_rpm,Kinematics,31.657665141359487,6.424437685428853,0.1324329703336754,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.012469145479059003,27
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_load_duration_cv,Kinematics,5.335689552202516,-1.3451122047405115,2.358298342749789,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.002101591793343837,49
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_load_duration_ms,Kinematics,3.9391668744511117,-0.6718042561012346,-2.491548704041806,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0015515371902664508,51
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_load_rest_ratio,Kinematics,4.542624195186973,-1.498067752385508,-3.894094922060731,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0017892236112030358,50
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_load_sampen_30s,Kinematics,1.2332751437396732,0.10848725464000694,0.7468866214924443,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.00048575557023334566,59
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_load_trend_cv_ratio_30s,Kinematics,1.1561030461471553,-0.08196247656620569,0.15515254663928074,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0004553594526577612,62
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_rest_duration_cv,Kinematics,2.336804232857257,0.17430830507442582,2.2832293379247632,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0009204074844265892,57
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_rest_duration_ms,Kinematics,5.68804448802763,0.9333982069271313,1.6339533333935499,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0022403754002665037,48
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_rest_sampen_30s,Kinematics,3.062943289176273,-0.09414259550520006,0.23447116439536544,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.001206415106619778,54
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_rest_trend_cv_ratio_30s,Kinematics,0.3137275668759184,-0.03872696047096719,0.2035674664049368,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.00012356927318231934,65
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_e_d2,EMG,29.10145810981283,-7.276028609626298,19.965835273226524,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.011462320837739922,29
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_e_d3,EMG,26.349552897338498,-2.6050918963717016,19.467094032371485,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.010378415682836584,33
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_e_d4,EMG,65.57842406993962,-13.235319480592436,21.78572574252827,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.025829665781232865,14
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_e_d5,EMG,60.59137450576116,12.34887762416267,20.577010193507856,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.023865394371785878,17
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_mav,EMG,142.60920205785177,-26.48850869375586,14.473553469621493,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.056170121175130726,3
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_mdf,EMG,20.619317199016805,-1.1961173933259892,-0.0549654451871098,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.008121422242776398,36
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_mnf,EMG,12.622762395946529,0.5337242735185529,0.19185777557494432,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0049717836094305716,39
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_p_high,EMG,20.959364529542924,2.2560302503378025,0.07288414554771469,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.008255358198418189,35
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_p_low,EMG,10.486082308544509,1.0524845588708918,-0.19006098179491582,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0041301999129368955,41
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_p_mid,EMG,9.38635051636296,0.7166566365826212,-0.07353239753368039,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0036970436569898047,44
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_ratio_low_high,EMG,23.50999661426004,3.5689808763646504,0.6358041459327717,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.009259987010615155,34
