task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT1,SampEn   120s,ElasticNet,2.021253199424083,0.8619667366467986,0.8266316380577844,0.9210987874009485,0.07050590505270615,False
LT1,Trend CV  60s,GBM n=200,2.329605051955037,0.7182391096444642,0.7873564938578792,0.910560512907647,0.37885775758366,False
LT1,Trend CV  30s,GBM n=200,2.3457770914008527,0.7155155907294316,0.78544264195162,0.9110345070421608,0.3950297970294756,False
LT1,v0004-репликация,GBM n=200,2.351185603002945,0.7267898148631013,0.7830744520543085,0.9095253165960145,0.40043830863156793,False
LT1,SampEn    30s,GBM n=200,2.3800790412510264,0.778386886705077,0.7764311040236823,0.9074955150673325,0.42933174687964937,False
LT1,SampEn    30s,RF n=200,2.380833923472861,0.8354852240874635,0.7753018176223238,0.9035723430541602,0.43008662910148376,False
LT1,Trend CV  60s,RF n=200,2.3893773764169257,0.8206251804326806,0.775955106556891,0.902967885601788,0.43863008204554865,False
LT1,Trend CV 120s,RF n=200,2.3908156649579806,0.8096208526038517,0.7730509232818293,0.9013093987381416,0.44006837058660353,False
LT1,Trend CV  30s,RF n=200,2.396322164388764,0.8313540481835985,0.7742153851002364,0.9019952563302709,0.44557487001738694,False
LT1,v0004-репликация,RF n=200,2.3987525555905203,0.8284511197058336,0.7738113099622458,0.9017100047253332,0.4480052612191432,False
LT1,Trend CV 120s,GBM n=200,2.407335679632063,0.7594621745208241,0.7694711821474348,0.9067700474466807,0.4565883852606858,False
LT1,SampEn    60s,RF n=200,2.4098705392466884,0.8293268234800575,0.771504410298374,0.9003881767329551,0.4591232448753113,False
LT1,SampEn    60s,GBM n=200,2.4406885369379414,0.7784747406726115,0.7669633474261821,0.9035993729928365,0.48994124256656435,False
LT1,SampEn   120s,RF n=200,2.479011769188375,0.8684035988163159,0.7618139832866201,0.8975589432082248,0.528264474816998,False
LT1,SampEn   120s,GBM n=200,2.5311235596466295,0.7673598005947732,0.754184890910303,0.8952064058727308,0.5803762652752524,False
LT1,v0004-репликация,SVR rbf,2.775540242795628,1.4885809992708858,0.6043019299583938,0.8277183842516597,0.8247929484242509,False
LT1,Trend CV 120s,SVR rbf,2.788026927205029,1.4606008443191658,0.5982087926129604,0.8270749529467529,0.837279632833652,False
LT1,Trend CV  60s,SVR rbf,2.820676571248411,1.5367046041309305,0.5905960602179592,0.8223749414685698,0.8699292768770339,False
LT1,Trend CV  30s,SVR rbf,2.83116605800942,1.5040401748809245,0.5854805846392097,0.8186582633998563,0.880418763638043,False
LT1,SampEn    30s,SVR rbf,2.8750183324733345,1.4933068557712397,0.5855271035841757,0.8221415100274497,0.9242710381019574,False
LT1,SampEn    60s,SVR rbf,2.916398749540084,1.5232090767805757,0.5812073231216215,0.820009145306191,0.9656514551687068,False
