sigma_p,sigma_obs,kalman_mae,r2,rho,feature_set,target
10,200,2.7357,0.742,0.887,EMG,lt1
10,300,2.7405,0.742,0.887,EMG,lt1
10,500,2.77,0.739,0.883,EMG,lt1
15,30,2.8521,0.717,0.871,EMG,lt1
15,60,2.8096,0.726,0.876,EMG,lt1
15,100,2.775,0.733,0.88,EMG,lt1
15,150,2.7534,0.738,0.883,EMG,lt1
15,200,2.7425,0.74,0.885,EMG,lt1
15,300,2.7357,0.742,0.887,EMG,lt1
15,500,2.7445,0.741,0.886,EMG,lt1
25,30,2.873,0.713,0.868,EMG,lt1
25,60,2.8424,0.719,0.872,EMG,lt1
25,100,2.8096,0.726,0.876,EMG,lt1
25,150,2.7816,0.732,0.879,EMG,lt1
25,200,2.7645,0.735,0.881,EMG,lt1
25,300,2.7459,0.739,0.884,EMG,lt1
25,500,2.7357,0.742,0.887,EMG,lt1
40,30,2.8853,0.71,0.867,EMG,lt1
40,60,2.8651,0.714,0.869,EMG,lt1
40,100,2.8401,0.72,0.872,EMG,lt1
40,150,2.8141,0.725,0.875,EMG,lt1
40,200,2.7941,0.729,0.878,EMG,lt1
40,300,2.7681,0.735,0.881,EMG,lt1
40,500,2.7444,0.739,0.885,EMG,lt1
60,30,2.8917,0.708,0.866,EMG,lt1
60,60,2.8786,0.711,0.867,EMG,lt1
60,100,2.8607,0.715,0.87,EMG,lt1
60,150,2.8401,0.72,0.872,EMG,lt1
60,200,2.8221,0.723,0.874,EMG,lt1
60,300,2.7941,0.729,0.878,EMG,lt1
60,500,2.7622,0.736,0.882,EMG,lt1
90,30,2.8955,0.708,0.865,EMG,lt1
90,60,2.8874,0.709,0.866,EMG,lt1
90,100,2.8756,0.712,0.868,EMG,lt1
90,150,2.8607,0.715,0.87,EMG,lt1
90,200,2.8466,0.718,0.871,EMG,lt1
90,300,2.8221,0.723,0.874,EMG,lt1
90,500,2.7867,0.731,0.878,EMG,lt1
5,30,4.2287,0.434,0.68,NIRS,lt1
5,60,4.1758,0.45,0.69,NIRS,lt1
5,100,4.0987,0.47,0.707,NIRS,lt1
5,150,4.0024,0.494,0.73,NIRS,lt1
5,200,3.9162,0.514,0.752,NIRS,lt1
5,300,3.7908,0.543,0.784,NIRS,lt1
5,500,3.6758,0.565,0.816,NIRS,lt1
10,30,4.2573,0.423,0.673,NIRS,lt1
10,60,4.2287,0.434,0.68,NIRS,lt1
10,100,4.1942,0.444,0.687,NIRS,lt1
10,150,4.147,0.457,0.696,NIRS,lt1
10,200,4.0987,0.47,0.707,NIRS,lt1
10,300,4.0024,0.494,0.73,NIRS,lt1
10,500,3.8457,0.53,0.77,NIRS,lt1
15,30,4.2695,0.418,0.67,NIRS,lt1
15,60,4.247,0.427,0.676,NIRS,lt1
