job_id,cmd,status,pid,log_path,start_iso,end_iso,exit_code,gpu_util_at_start,gpu_mem_pct_at_start
J0033,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40,done,76535,orchestrator/local_logs/J0033.log,2026-05-18T05:19:51,2026-05-18T06:46:39,0,0,0
J0034,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40,done,80364,orchestrator/local_logs/J0034.log,2026-05-18T05:21:12,2026-05-18T06:47:09,0,0,0
J0035,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40,done,1872,orchestrator/local_logs/J0035.log,2026-05-18T05:30:52,2026-05-18T07:05:01,0,0,0
J0036,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN3 --target lt2 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40,done,2561,orchestrator/local_logs/J0036.log,2026-05-18T05:31:02,2026-05-18T07:04:51,0,0,0
J0037,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG --with-abs --max-epochs 40,done,10908,orchestrator/local_logs/J0037.log,2026-05-18T05:34:43,2026-05-18T07:30:54,0,0,0
J0038,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG --no-abs --max-epochs 40,done,13655,orchestrator/local_logs/J0038.log,2026-05-18T05:35:33,2026-05-18T07:32:14,0,0,0
J0039,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS --with-abs --max-epochs 40,running,10716,orchestrator/local_logs/J0039.log,2026-05-18T08:16:55,,,0,0
J0040,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS --no-abs --max-epochs 40,running,11450,orchestrator/local_logs/J0040.log,2026-05-18T08:17:05,,,0,0
J0041,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40,running,12153,orchestrator/local_logs/J0041.log,2026-05-18T08:17:16,,,0,0
J0042,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt1 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40,running,13367,orchestrator/local_logs/J0042.log,2026-05-18T08:17:26,,,0,0
J0043,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG --with-abs --max-epochs 40,running,14076,orchestrator/local_logs/J0043.log,2026-05-18T08:17:36,,,0,0
J0044,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG --no-abs --max-epochs 40,running,14787,orchestrator/local_logs/J0044.log,2026-05-18T08:17:46,,,0,0
J0045,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS --with-abs --max-epochs 40,running,15522,orchestrator/local_logs/J0045.log,2026-05-18T08:17:56,,,0,0
J0046,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS --no-abs --max-epochs 40,running,16228,orchestrator/local_logs/J0046.log,2026-05-18T08:18:06,,,0,0
J0047,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS+HRV --with-abs --max-epochs 40,queued,,,,,,,
J0048,PYTHONPATH=. uv run python tcn_runner.py --architecture TCN4 --target lt2 --feature-set EMG+NIRS+HRV --no-abs --max-epochs 40,queued,,,,,,,
